dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
motorimagery,1,random_cov_state,success,,0.3985139757046821,0.5586380832282472,0.16012410752356504,2220,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.4993614303959132,21,0,0,1596.8906660489738,0.000105728177971963,,
motorimagery,1,pca_cov_state,success,,0.3985139757046821,0.3288590604026846,-0.06965491530199752,2220,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.49743589743589745,11,0,0,645.7027215990238,0.0001057277964413097,10.0,0.5153107047080994
motorimagery,2,random_cov_state,success,,0.5331069609507639,0.6394230769230769,0.10631611597231294,2220,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.41666666666666663,16,0,0,903.7579579551239,0.00010536586861322497,,
motorimagery,2,pca_cov_state,success,,0.5331069609507639,0.5941558441558441,0.06104888320508017,2220,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.4462519936204147,17,0,0,761.9570543579757,0.00010536583945965682,10.0,0.5126819014549255
motorimagery,3,random_cov_state,success,,0.46943972835314096,0.5191815856777494,0.04974185732460845,2220,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.5522865366165655,18,0,0,591.2057645870373,0.00010606017068008649,,
motorimagery,3,pca_cov_state,success,,0.46943972835314096,0.3743099006256901,-0.09512982772745088,2220,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.5351213282247764,16,0,0,526.7539583870675,0.00010606027174124462,10.0,0.5157267451286316
