dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
libras,no_aug,0.8931805828006149,0.04079202375514935,0.0,0.0,,0.0,0.0,2
libras,csta_topk_uniform_top5,0.86958759027693,,0.005251324091903986,,0.0,1440.0,10.0,1
