dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
cricket,2,csta_topk_uniform_top5,success,,1.0,1.0,0.0,860,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,14.343733543995768,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002218012526705,0.0135970649173045,1.103435716841656,0.1629559545508302,0.0705313471202599,2.029877671970912,0.1,0.0,0.0,0.0,0.0,860,860,10,10,0.0,2.181743959302551,0.1860465116279069,1.0,860,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard3/_csta_runs/csta_topk_uniform_top5/cricket/s2/candidate_audit/cricket_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000004467098,1.1691909790980357,0.1,0.1,0.0705313471202599,0.0,0.0,2.029877671970912,0.0135970649173045,2.181743959302551,0.1860465116279069,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,86,False,1.0,1.0000000000000002,1.0,0,0.4220295189787309,0.4248246670850231,0.0222675067475672,2.181743959302551
cricket,3,csta_topk_uniform_top5,success,,0.986013986013986,0.9721250971250972,-0.0138888888888888,860,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,14.024166922958102,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002217167490049,0.0121486632274426,1.1030685271579492,0.1585658525578335,0.0722898009721784,1.9700825355244047,0.1,0.0,0.0,0.0,0.0,860,860,10,10,0.0,2.084463873463391,0.2325581395348837,1.0,860,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard3/_csta_runs/csta_topk_uniform_top5/cricket/s3/candidate_audit/cricket_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.09999999969564,1.1600491212051909,0.1,0.1,0.0722898009721784,0.0,0.0,1.9700825355244047,0.0121486632274426,2.084463873463391,0.2325581395348837,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,21,86,False,1.0,1.0,1.0,0,0.4427598620853732,0.4204514023207658,0.0132718532418008,2.084463873463391
epilepsy,1,csta_topk_uniform_top5,success,,0.9717806041335452,0.9717806041335452,0.0,1090,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,7.907935333962087,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001569549510538,0.00410352161147,1.081104962994481,0.1287839992411313,0.1015002448350429,1.4579571049010949,0.0999999999999999,0.0,0.0,0.0,0.0,1090,1090,10,10,0.0,2.177930938785269,0.1926605504587156,1.0,1090,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5/epilepsy/s1/candidate_audit/epilepsy_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000004689583,1.3464652448022056,0.0999999999999999,0.0999999999999999,0.1015002448350429,0.0,0.0,1.4579571049010949,0.00410352161147,2.177930938785269,0.1926605504587156,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,109,False,1.0,1.0,1.0,0,0.3911798363993395,0.3353275993696665,0.0262335940754174,2.177930938785269
epilepsy,2,csta_topk_uniform_top5,success,,0.9709217843885812,0.9717806041335452,0.0008588197449639,1090,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,8.22897890402237,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001569906487136,0.003699872427607,1.084426246460199,0.128748864029355,0.1035920749797201,1.4371339363815483,0.0999999999999999,0.0,0.0,0.0,0.0,1090,1090,10,10,0.0,2.1131560153282294,0.1743119266055046,1.0,1090,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5/epilepsy/s2/candidate_audit/epilepsy_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000004917518,1.1341371970398186,0.0999999999999999,0.0999999999999999,0.1035920749797201,0.0,0.0,1.4371339363815483,0.003699872427607,2.1131560153282294,0.1743119266055046,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,109,False,1.0,1.0,1.0,0,0.3019139733421603,0.2988300504330786,0.0210205566940965,2.1131560153282294
epilepsy,3,csta_topk_uniform_top5,success,,0.9326363277133825,0.9709217843885812,0.0382854566751987,1090,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,7.998606565000955,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001570622828072,0.0038771124489128,1.0896154484475762,0.1344422776121588,0.1050425229704121,1.3987721618078757,0.0999999999999999,0.0,0.0,0.0,0.0,1090,1090,10,10,0.0,2.175306167996584,0.1834862385321101,1.0,1090,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard0/_csta_runs/csta_topk_uniform_top5/epilepsy/s3/candidate_audit/epilepsy_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999999378076,1.301289555676287,0.0999999999999999,0.0999999999999999,0.1050425229704121,0.0,0.0,1.3987721618078757,0.0038771124489128,2.175306167996584,0.1834862385321101,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,109,False,1.0,1.0,1.0,0,0.3729633880241157,0.3331185640960838,0.0240105372669049,2.175306167996584
ering,1,csta_topk_uniform_top5,success,,0.5424850558740912,0.7580623914313596,0.2155773355572683,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.7777777777777778,30,0,0,5.692667556984816,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001813588700088,0.0013170723671426,1.100166125799536,0.1495433511972191,0.1423919299191502,1.0850636769840405,0.1,0.0,0.0,0.0,0.0,240,240,10,10,0.0,2.037712826860868,0.2083333333333333,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5/ering/s1/candidate_audit/ering_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999993749267,0.5080745053208268,0.1,0.1,0.1423919299191502,0.0,0.0,1.0850636769840405,0.0013170723671426,2.037712826860868,0.2083333333333333,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,10,24,False,1.0,1.0,1.0,0,0.323908626804241,0.3384924606380963,0.0053674422524026,2.037712826860868
ering,2,csta_topk_uniform_top5,success,,0.848105426301868,0.8671337553903701,0.019028329088502,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,5.231463211006485,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812194388137,0.0013015840543201,1.098069042572177,0.1429676655229652,0.1469376726516472,1.0484200830955133,0.1,0.0,0.0,0.0,0.0,240,240,10,10,0.0,2.003428294150429,0.2916666666666667,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5/ering/s2/candidate_audit/ering_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999999881427,0.54606562299,0.1,0.1,0.1469376726516472,0.0,0.0,1.0484200830955133,0.0013015840543201,2.003428294150429,0.2916666666666667,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,10,24,False,1.0,1.0,1.0,0,0.3222339555125668,0.3261402467539024,0.0143436075719679,2.003428294150429
ering,3,csta_topk_uniform_top5,success,,0.8501737413578302,0.836349387192084,-0.0138243541657462,240,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,16,0,0,4.8572558389860205,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001812196855423,0.0013504756179882,1.0937690424889808,0.1424737027425314,0.1431906752541684,1.0999095086492523,0.1,0.0,0.0,0.0,0.0,240,240,10,10,0.0,1.9097057700482944,0.2916666666666667,1.0,240,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard1/_csta_runs/csta_topk_uniform_top5/ering/s3/candidate_audit/ering_s3_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000003982384,0.5401062437558427,0.1,0.1,0.1431906752541684,0.0,0.0,1.0999095086492523,0.0013504756179882,1.9097057700482944,0.2916666666666667,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,10,24,False,1.0,1.0,1.0,0,0.286704659174984,0.2865740186565553,0.0164677153455645,1.9097057700482944
ethanolconcentration,1,csta_topk_uniform_top5,success,,0.25302243628668,0.2418378080544981,-0.0111846282321818,2080,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.4756294471811713,14,0,0,22.898396499978844,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001681002574129,5.430153723548956e-09,1.2922032555303156,0.3673345575968721,0.1319636663944972,1.1657439665283205,0.1,0.0,0.0,0.0,0.0,2080,2080,10,10,0.0,2.2483013683736206,0.173076923076923,1.0,2080,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/ethanolconcentration/s1/candidate_audit/ethanolconcentration_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999993860921,1.347702867735726,0.1,0.1,0.1319636663944972,0.0,0.0,1.1657439665283205,5.430153723548956e-09,2.2483013683736206,0.173076923076923,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,208,False,1.0,1.0,1.0,0,0.5357072847259075,0.5215357822534553,0.0263817718848728,2.2483013683736206
ethanolconcentration,2,csta_topk_uniform_top5,success,,0.2957462456440558,0.2992286845945383,0.0034824389504824,2080,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.3787179487179487,20,0,0,28.20590689999517,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001643009125875,5.5963055145115495e-09,1.2362881804513302,0.3057605700477056,0.1243083167784143,1.201093150184524,0.1,0.0,0.0,0.0,0.0,2080,2080,10,10,0.0,2.2502456092531307,0.1538461538461538,1.0,2080,True,1.0,True,standalone_projects/ACT_ManifoldBridge/results/csta_pia_final20/resnet1d_s123/_shards/shard2/_csta_runs/csta_topk_uniform_top5/ethanolconcentration/s2/candidate_audit/ethanolconcentration_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000002786565,1.4412674368867873,0.1,0.1,0.1243083167784143,0.0,0.0,1.201093150184524,5.5963055145115495e-09,2.2502456092531307,0.1538461538461538,0,0,zpia_top1_pool,core_concat,concat_all,10.0,1,topk_uniform_top5,6,208,False,1.0,1.0,1.0,0,0.5135199340873575,0.5488869480292387,0.0254997075520704,2.2502456092531307
