dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,wdba_k,wdba_max_iter,wdba_tau
atrialfibrillation,1,wdba_sameclass,success,,0.21645021645021645,0.33404558404558404,0.1175953675953676,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5555555555555555,30,120,120,30.48384249798255,5.0,5.0,6.7119545258324775
atrialfibrillation,2,wdba_sameclass,success,,0.32051282051282054,0.2878787878787879,-0.03263403263403264,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,120,120,21.795203340996522,5.0,5.0,6.750113428283223
atrialfibrillation,3,wdba_sameclass,success,,0.16666666666666666,0.3119047619047619,0.14523809523809525,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,14,120,120,19.809560609981418,5.0,5.0,5.451071620633777
ering,1,wdba_sameclass,success,,0.5424850558740912,0.6824783733543481,0.1399933174802569,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.7777777777777777,15,240,240,2.7241598070249893,5.0,5.0,10.99836809663957
ering,2,wdba_sameclass,success,,0.848105426301868,0.7820445837687217,-0.06606084253314637,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,240,240,3.228590360027738,5.0,5.0,11.326682745148547
ering,3,wdba_sameclass,success,,0.8501737413578302,0.8534047914877695,0.0032310501299392946,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,29,240,240,3.1504690130241215,5.0,5.0,11.040286949023267
handwriting,1,wdba_sameclass,success,,0.382737297846506,0.44562886642086225,0.06289156857435624,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.31527777777777777,22,400,400,27.58699031895958,5.0,5.0,18.542979463852216
handwriting,2,wdba_sameclass,success,,0.4136709560472157,0.36585997396394165,-0.047810982083274056,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.45555555555555555,18,400,400,26.02736906800419,5.0,5.0,19.20844606904073
handwriting,3,wdba_sameclass,success,,0.4038917991696072,0.39833152029567687,-0.005560278873930347,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.34722222222222215,30,400,400,27.59126404201379,5.0,5.0,18.88366672603484
libras,1,wdba_sameclass,success,,0.8667137210615472,0.9259153687786214,0.059201647717074146,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9244444444444445,29,0,0,10.300372642988805,5.0,5.0,1.4689409224905092
libras,2,wdba_sameclass,success,,0.019034133206620733,0.870429412777239,0.8513952795706182,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.8907936507936508,17,0,0,8.683622137992643,5.0,5.0,1.4659865515020696
libras,3,wdba_sameclass,success,,0.7957431716788879,0.8671686767338943,0.07142550505500644,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.8352380952380953,29,0,0,10.165187422011513,5.0,5.0,1.4266217627467954
racketsports,1,wdba_sameclass,success,,0.8656212251404092,0.8974447898202618,0.03182356467985259,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9705882352941176,17,0,0,9.436465997016057,5.0,5.0,81.66226039613369
racketsports,2,wdba_sameclass,success,,0.8588293650793651,0.9091357298910959,0.050306364811730786,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9701754385964912,30,0,0,11.294999920006376,5.0,5.0,81.44592160844442
racketsports,3,wdba_sameclass,success,,0.8843719087962982,0.883992673992674,-0.0003792348036242288,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9705882352941176,28,0,0,11.037894816021435,5.0,5.0,80.10948993054942
