method,mean_f1,ci_low,ci_high,delta_vs_u5,delta_vs_random_cov,delta_vs_bank_random,delta_vs_wdba,cs_flow_train_mse_mean,cs_flow_train_cosine_mean,cs_flow_pred_target_cosine_mean,cs_flow_fallback_rate,generated_direction_pairwise_cosine_mean,unique_direction_ratio,effective_aug_multiplier,cs_flow_velocity_effective_rank,bridge_success_rate,gamma_used_ratio_mean,safe_clip_rate,transport_error_logeuc_mean,seed_wins_vs_u5,seed_ties_vs_u5,seed_losses_vs_u5,dataset_wins_vs_u5,dataset_ties_vs_u5,dataset_losses_vs_u5,paired_delta_vs_u5_mean,paired_delta_vs_u5_ci_low,paired_delta_vs_u5_ci_high,wilcoxon_p_vs_u5,seed_wins_vs_random_cov,seed_ties_vs_random_cov,seed_losses_vs_random_cov,dataset_wins_vs_random_cov,dataset_ties_vs_random_cov,dataset_losses_vs_random_cov,paired_delta_vs_random_cov_mean,paired_delta_vs_random_cov_ci_low,paired_delta_vs_random_cov_ci_high,wilcoxon_p_vs_random_cov,seed_wins_vs_bank_random,seed_ties_vs_bank_random,seed_losses_vs_bank_random,dataset_wins_vs_bank_random,dataset_ties_vs_bank_random,dataset_losses_vs_bank_random,paired_delta_vs_bank_random_mean,paired_delta_vs_bank_random_ci_low,paired_delta_vs_bank_random_ci_high,wilcoxon_p_vs_bank_random,seed_wins_vs_wdba,seed_ties_vs_wdba,seed_losses_vs_wdba,dataset_wins_vs_wdba,dataset_ties_vs_wdba,dataset_losses_vs_wdba,paired_delta_vs_wdba_mean,paired_delta_vs_wdba_ci_low,paired_delta_vs_wdba_ci_high,wilcoxon_p_vs_wdba
cs_flow_single_step,0.6362479912074048,0.4924589304744985,0.7639364534907527,-0.02899381326756567,-0.011882121556353709,-0.017297845424576352,-0.03167423372382494,0.05308320683183233,0.5501664777596792,0.35330827702711515,0.0,0.9769012147829594,0.9998834325396825,9.998834325396826,25.997524567683183,1.0,,0.024999999999999994,0.7718263933766897,9,1,11,3,0,4,-0.02899381326756562,-0.06982350288205567,0.002292164023903461,0.6012127057398096,7,1,13,3,0,4,-0.011882121556353788,-0.03311271172127498,0.007420230661409246,0.39053287003351767,13,0,8,3,0,4,-0.017297845424576304,-0.05927427791484273,0.01798431140068222,0.6578273773193359,13,0,8,4,0,3,-0.03167423372382491,-0.07719580816063924,0.007193759024806749,0.6091489791870117
csta_template_random_within_bank,0.6535458366319812,0.520055653696464,0.7749761905443671,-0.011695967842989319,0.005415723868222644,0.0,-0.014376388299248588,,,,,,,,,,0.9943245465680415,0.024999999999999994,0.7712348967354768,4,1,16,1,0,6,-0.011695967842989315,-0.025490203823435108,0.003981276994499042,0.02509350819808047,7,0,14,2,0,5,0.005415723868222513,-0.024693623305435283,0.03958804220094064,0.27221012115478516,0,21,0,0,7,0,0.0,0.0,0.0,,8,0,13,2,0,5,-0.014376388299248612,-0.04194113267111223,0.011277169068646838,0.3038158416748047
csta_topk_uniform_top5,0.6652418044749705,0.5333498246150686,0.7874618054049444,0.0,0.017111691711211963,0.011695967842989319,-0.0026804204562592693,,,,,,,,,,0.9943245465901505,0.024999999999999994,0.7712347352606244,0,21,0,0,7,0,0.0,0.0,0.0,,10,1,10,5,0,2,0.01711169171121183,-0.012400535996906256,0.05090873963344126,0.45527280991543384,16,1,4,6,0,1,0.011695967842989315,-0.003981276994499058,0.025490203823435104,0.02509350819808047,12,0,9,4,0,3,-0.002680420456259293,-0.03137239541463773,0.024467875010127642,1.0
dba_sameclass,0.6633089519049826,0.5342961179545509,0.7879664406275307,-0.0019328525699878751,0.015178839141224088,0.009763115273001444,-0.004613273026247144,,,,,,,,,,,,,10,0,11,3,0,4,-0.0019328525699877576,-0.031890771792069304,0.028684843431413438,0.7592878341674805,9,0,12,4,0,3,0.015178839141224068,-0.013325307081264722,0.04784359659680634,0.8917322158813477,12,0,9,5,0,2,0.009763115273001558,-0.019618232268983384,0.04234146930460657,0.8648872375488281,10,0,11,3,0,4,-0.004613273026247053,-0.0271351979874237,0.018607980305873233,0.7079343795776367
pca_cov_state,0.6470301977697014,0.5015927892873461,0.7792176734883453,-0.018211606705269112,-0.0010999149940571495,-0.006515638862279793,-0.02089202716152838,,,,,,,,,,,,0.7712756867872853,8,0,13,2,0,5,-0.018211606705268994,-0.05878750482745877,0.01052756099538306,0.32045745849609375,11,0,10,3,0,4,-0.0010999149940571628,-0.02668363382722387,0.023199766423578405,1.0,12,0,9,4,0,3,-0.006515638862279677,-0.04424818183512565,0.021875573136381856,0.7334699630737305,8,0,13,3,0,4,-0.020892027161528284,-0.06331652114445718,0.018395406019153227,0.45236778259277344
random_cov_state,0.6481301127637585,0.5054358170500939,0.7745371152525269,-0.017111691711211963,0.0,-0.005415723868222644,-0.019792112167471232,,,,,,,,,,,,0.7712090154099581,10,1,10,2,0,5,-0.01711169171121183,-0.0509087396334413,0.012400535996906246,0.45527280991543384,0,21,0,0,7,0,0.0,0.0,0.0,,14,0,7,5,0,2,-0.005415723868222513,-0.039588042200940664,0.02469362330543528,0.27221012115478516,10,0,11,4,0,3,-0.01979211216747112,-0.06260208161373007,0.019079852847925502,0.5854024887084961
wdba_sameclass,0.6679222249312298,0.5474783588174306,0.7819647379449619,0.0026804204562592693,0.019792112167471232,0.014376388299248588,0.0,,,,,,,,,,,,,9,0,12,3,0,4,0.002680420456259293,-0.024467875010127645,0.03137239541463772,1.0,11,0,10,3,0,4,0.01979211216747112,-0.01907985284792551,0.06260208161373006,0.5854024887084961,13,0,8,5,0,2,0.014376388299248612,-0.011277169068646845,0.041941132671112206,0.3038158416748047,0,21,0,0,7,0,0.0,0.0,0.0,
