dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,effective_k_dir_zpia,u_perp_norm_ratio_mean,u_perp_zero_rate,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,method_arm,fail_reason
natops,2,success,zpia_top1_pool,resnet1d,act,0.9070392331641024,0.9604946174708764,0.0534553843067738,5.893392089216343,27.0,19.0,1.0,1.0,0.0004486126157977,2.9148412447969303,1.4075779300035136,0.5541958646068814,0.036731161400486,5.7362806886113855,-0.0027496644761413,0.5,1440.0,1440.0,10,10,0.0,1.8575993708735523,0.4513888888888889,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,300.0,144.0,True,1.0,1.0,1.0,0.0,0.753430123513149,0.7592133258157752,0.0107950116523461,csta_top1_repeated,
natops,3,success,zpia_top1_pool,resnet1d,act,0.920588320022504,0.9551867505887937,0.0345984305662896,3.75829521790464,30.0,30.0,0.945887445887446,0.972027972027972,0.0004470833621487,2.9214642107123643,1.358631508031084,0.4990539107014415,0.0374223596743741,5.643837013582447,-0.002313102595508,0.5034722222222222,1440.0,1440.0,10,10,0.0,0.4564476447184191,0.9097222222222222,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7591960365934863,0.7556615765190766,0.0114538393452741,csta_top1_repeated,
racketsports,1,success,zpia_top1_pool,resnet1d,act,0.8656212251404092,0.8840267095656068,0.0184054844251976,2.126274375485394,30.0,30.0,0.9409722222222222,0.9686274509803922,0.0002216588289726,0.0001210326529788,1.09879276630279,0.1565561595203299,0.0982861652156449,2.1438648560026827,-0.0261333845555782,0.5166666666666667,1200.0,1200.0,10,10,0.0,2.246311023933396,0.1666666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6439876728442867,0.6505309066490541,0.0133635817838723,csta_top1_repeated,
racketsports,2,success,zpia_top1_pool,resnet1d,act,0.8588293650793651,0.877184664584263,0.0183552995048978,2.137246129905623,30.0,27.0,0.9701754385964912,1.0,0.0002216316736303,0.0001339494145764,1.0969260751284684,0.1551145270236305,0.0971920335187624,2.169316663145023,-0.0271502491086721,0.5166666666666667,1200.0,1200.0,10,10,0.0,2.1062779816993635,0.225,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6409920133104581,0.6446748194233678,0.0161542688599673,csta_top1_repeated,
racketsports,3,success,zpia_top1_pool,resnet1d,act,0.8843719087962982,0.8506455399061033,-0.0337263688901949,-3.813595246654097,30.0,13.0,0.9705882352941176,0.9409722222222222,0.0002216196947309,0.0001230420327564,1.0974657743256249,0.1544512212983493,0.0982568416844038,2.1508125271014964,-0.0189507510513067,0.5083333333333333,1200.0,1200.0,10,10,0.0,2.1184763181059685,0.2166666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,21.0,120.0,False,1.0,1.0,1.0,0.0,0.6390133560120386,0.640681388461378,0.013002536628967,csta_top1_repeated,
japanesevowels,1,success,zpia_top1_pool,resnet1d,act,0.9561456014766324,0.9859530991412556,0.0298074976646233,3.117463961673397,30.0,20.0,0.9452769452769452,0.9813519813519817,0.000315798002065,2.4622209914437394,1.2183675254918336,0.3333182341913299,0.0372904425400311,5.394679395933378,-0.0072394362650811,0.5092592592592593,2160.0,2160.0,10,10,0.0,2.208934062412209,0.1527777777777778,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,78.0,216.0,False,1.0,1.0,1.0,0.0,0.7457823519458467,0.7501390617000077,0.012200302220932,csta_top1_repeated,
japanesevowels,2,success,zpia_top1_pool,resnet1d,act,0.9741476029508114,0.9772075372280328,0.0030599342772215,0.314113996055485,30.0,30.0,1.0,1.0,0.0003156977036775,2.4439172159137947,1.212333336746948,0.3292693277354298,0.0375873302058967,5.356552201176859,-0.0056613944470882,0.5092592592592593,2160.0,2160.0,10,10,0.0,2.225231092273819,0.162037037037037,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,78.0,216.0,False,1.0,1.0,1.0,0.0,0.7493481019152409,0.7534476229307976,0.0126902622167224,csta_top1_repeated,
japanesevowels,3,success,zpia_top1_pool,resnet1d,act,0.9681596726696928,0.978906247430676,0.0107465747609829,1.1100001326588231,30.0,24.0,1.0,1.0,0.0003157694080077,2.4440246369057768,1.214188319717628,0.3329321326551593,0.0374169818125771,5.378469108461614,-0.0057985829189419,0.5092592592592593,2160.0,2160.0,10,10,0.0,2.0712488317909603,0.1759259259259259,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,78.0,216.0,False,1.0,1.0,1.0,0.0,0.7488016497452964,0.7512732409111937,0.0123525275859869,csta_top1_repeated,
atrialfibrillation,1,success,zpia_top1_pool,resnet1d,act,0.2164502164502164,0.1631701631701631,-0.0532800532800532,-24.61537324308218,30.0,30.0,0.5555555555555555,0.5555555555555555,0.0001279822550721,0.0270429828657625,1.0477543861492866,0.1062613083895949,0.2722070995828121,1.0436398830928968,0.0077649294398725,0.5,120.0,120.0,10,10,,1.3086053872494494,0.4166666666666667,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,3.0,12.0,False,1.0,1.0,1.0,0.0,0.2550371083690743,0.2867997950590593,0.0662662563935412,csta_top1_repeated,
atrialfibrillation,2,success,zpia_top1_pool,resnet1d,act,0.3205128205128205,0.1555555555555555,-0.1649572649572649,-51.466650609071685,28.0,30.0,0.5555555555555555,1.0,0.0001278538420499,0.0331853028157846,1.038810023727456,0.1019522452512836,0.2631824932480218,1.033774431547862,0.0067949751392006,0.5,120.0,120.0,10,10,,1.126928794796676,0.5,zpia_top1_pool,core_concat,concat_all,10.0,1.0,anchor_top_abs_response,10.0,0.0,0.0,3.0,12.0,False,1.0,1.0,1.0,0.0,0.3592279026832697,0.3777094475231055,0.043015200500775,csta_top1_repeated,
