method_arm,base_f1,act_f1,gain,host_geom_cosine_mean,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_total_count,effective_k_dir
csta_multidir,0.6522830531629035,0.6821036027318809,0.029820549568977353,-0.016598356053388337,0.0,2.2337909282230703,0.1500858410493827,1105.0,10.0
csta_pca_template,0.6522830531629035,0.6806436801832798,0.028360627020376405,-0.015522244369397675,0.0,1.8378451388446757,0.3017481674382716,1105.0,10.0
csta_random_orth_template,0.6522830531629035,0.6806436801832798,0.028360627020376405,-0.015522244369397675,0.0,1.8378451388446757,0.3017481674382716,1105.0,10.0
csta_top1_repeated,0.6522830531629035,0.6806436801832798,0.028360627020376405,-0.015522244369397675,0.0,1.8378451388446757,0.3017481674382716,1105.0,10.0
csta_no_safe,0.6522830531629035,0.6793857370299254,0.027102683867021988,-0.01643352441654614,0.0,1.8378451388446757,0.3017481674382716,1105.0,10.0
csta_fixed1,,,,,,,,,0.0
csta_random1,,,,,,,,,0.0
csta_top1_unique,,,,,,,,,0.0
