dataset,csta_fixed1,csta_multidir,csta_no_safe,csta_pca_template,csta_random1,csta_random_orth_template,csta_top1_repeated,csta_top1_unique
atrialfibrillation,,0.0057829597303281355,-0.0572390572390572,-0.0572390572390572,,-0.0572390572390572,-0.0572390572390572,
ering,,0.042617959618366424,0.09354373940676057,0.09354373940676057,,0.09354373940676057,0.09354373940676057,
handmovementdirection,,0.03887961129815567,0.06609162530846303,0.06609162530846303,,0.06609162530846303,0.06609162530846303,
handwriting,,0.06710873798333072,0.060911738864094796,0.0709752840909301,,0.0709752840909301,0.0709752840909301,
japanesevowels,,0.0150578092155726,0.014538002234275899,0.014538002234275899,,0.014538002234275899,0.014538002234275899,
natops,,0.03484045749259853,0.03695247900170517,0.03695247900170517,,0.03695247900170517,0.03695247900170517,
racketsports,,0.017138430606733365,0.0010114716799668327,0.0010114716799668327,,0.0010114716799668327,0.0010114716799668327,
