dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source
handwriting,1,success,lraes,resnet1d,act,0.382737297846506,0.3971462556842979,0.014408957837791891,3.7647112403608114,30,13,0.3055555555555555,0.4375,0.00015684574517342751,0.0003232525938395986,1.0777420580348689,0.11429497686039575,0.8510652875068,0.24298309895174477,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes
handwriting,2,success,lraes,resnet1d,act,0.4136709560472157,0.46217863938643217,0.048507683339216456,11.726148743092113,30,16,0.34027777777777773,0.4458333333333333,0.00015693184576270154,0.0003196512573936338,1.0811957934093226,0.11860622338575988,0.8748595267902561,0.2591882417685239,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes
handwriting,3,success,lraes,resnet1d,act,0.4038917991696072,0.4597910889775926,0.055899289807985364,13.840161172559554,30,24,0.33055555555555555,0.35555555555555557,0.0001570069847138754,0.0003248905796109309,1.0830801971649704,0.11947011237323593,0.8676174649361387,0.2621793509247431,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes
