dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
natops,random_cov_state,0.8915066026410564,,0.6842560524047621,,0.8102453102453101,1440.0,10.0,1
natops,pca_cov_state,0.8857116920842412,,0.6784611418479468,,0.8876262626262627,1440.0,10.0,1
natops,raw_mixup,0.879673948827525,,0.6724233985912307,,0.8250544662309368,1440.0,10.0,1
natops,raw_aug_timewarp,0.8724279835390947,,0.6651774333028003,,0.8876262626262627,1440.0,10.0,1
natops,raw_aug_scaling,0.8658575031525851,,0.6586069529162908,,0.8848484848484848,1440.0,10.0,1
natops,raw_aug_jitter,0.8591384544762602,,0.6518879042399659,,0.9111111111111111,1440.0,10.0,1
natops,csta_group_template_top,0.8511539765198903,,0.6439034262835961,,0.8375,1440.0,10.0,1
natops,csta_top1_current,0.8251937984496124,,0.617943248213318,,0.8054466230936819,1440.0,10.0,1
natops,dba_sameclass,0.72654050738661,,0.5192899571503157,,0.6922660672660673,1440.0,10.0,1
natops,no_aug,0.20725055023629438,,0.0,,0.19047619047619047,0.0,0.0,1
natops,raw_smote_flatten_balanced,0.20725055023629438,,0.0,,0.19047619047619047,0.0,0.0,1
