dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source
ering,1,success,lraes,resnet1d,act,0.5424850558740912,0.8173537237061425,0.2748686678320512,50.668421956940556,24,27,0.7777777777777777,0.7777777777777777,0.00018097435550526358,0.0013160204802687397,1.0961410685842536,0.1422603449554264,0.9999999999899996,1.0850636769840405,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes
ering,2,success,lraes,resnet1d,act,0.848105426301868,0.8865129311190033,0.038407504817135285,4.528623340613019,30,30,0.7777777777777778,1.0,0.00018124394645233993,0.0013007458639070523,1.1002112366265309,0.14607090871527997,0.9999999999899996,1.048420083095513,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes
ering,3,success,lraes,resnet1d,act,0.8501737413578302,0.8307507795042567,-0.019422961853573506,-2.284587093688121,30,16,0.7777777777777778,1.0,0.00018187684396059808,0.0013510519718944033,1.100858414444982,0.147154740093894,0.9999999999899996,1.0999095086492525,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes
