dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,dba_k,dba_max_iter
atrialfibrillation,3,raw_aug_jitter,success,,0.1666666666666666,0.264069264069264,0.0974025974025974,120,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,17,0,0,0.547050948953256,,,,,
basicmotions,1,dba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,6.478537598042749,,,,5.0,5.0
basicmotions,2,dba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,2.600186365074478,,,,5.0,5.0
basicmotions,3,dba_sameclass,success,,1.0,1.0,0.0,320,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,2.5436763840261847,,,,5.0,5.0
basicmotions,1,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,1.1004491139901802,0.0074650704433975,10.0,0.9967995882034302,,
basicmotions,2,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,1.3506063850363716,0.0087749805667072,10.0,0.9967847466468812,,
basicmotions,3,pca_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,1.3657645040657371,0.0084523090428181,10.0,0.9971162676811218,,
basicmotions,1,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,1.1296787400497124,0.0074710908403013,,,,
basicmotions,2,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,1.3536535219755024,0.0087748014572617,,,,
basicmotions,3,random_cov_state,success,,1.0,1.0,0.0,320,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,1.366747852996923,0.0084575958828494,,,,
basicmotions,1,raw_aug_jitter,success,,1.0,1.0,0.0,320,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,1.1782851989846677,,,,,
basicmotions,2,raw_aug_jitter,success,,1.0,1.0,0.0,320,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,1.1809007580159232,,,,,
basicmotions,3,raw_aug_jitter,success,,1.0,1.0,0.0,320,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,0.9864224100019784,,,,,
cricket,1,dba_sameclass,success,,0.9860139860139862,0.9860139860139862,0.0,860,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,561.8429131440353,,,,5.0,5.0
cricket,2,dba_sameclass,success,,1.0,0.986013986013986,-0.013986013986014,860,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,17,0,0,339.8020962550072,,,,5.0,5.0
cricket,3,dba_sameclass,success,,0.986013986013986,0.9860139860139862,2.220446049250313e-16,860,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,334.7495535099879,,,,5.0,5.0
cricket,1,pca_cov_state,success,,0.9860139860139862,0.9860139860139862,0.0,860,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,8.952775734011084,0.0130793071934328,10.0,0.9760114550590516,,
cricket,2,pca_cov_state,success,,1.0,0.9860139860139862,-0.0139860139860138,860,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,8.874463633052073,0.0135897879507818,10.0,0.97592031955719,,
cricket,3,pca_cov_state,success,,0.986013986013986,0.986013986013986,0.0,860,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,8.701588125084527,0.0121472783390389,10.0,0.9743293523788452,,
cricket,1,random_cov_state,success,,0.9860139860139862,0.9860139860139862,0.0,860,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,8.738284623017535,0.0130711690109905,,,,
cricket,2,random_cov_state,success,,1.0,0.9860139860139862,-0.0139860139860138,860,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,8.975026431959122,0.0135850436722965,,,,
cricket,3,random_cov_state,success,,0.986013986013986,0.9721250971250972,-0.0138888888888888,860,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,8.79135554493405,0.0121426784291689,,,,
cricket,1,raw_aug_jitter,success,,0.9860139860139862,0.9860139860139862,0.0,860,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,8.525921037071384,,,,,
cricket,2,raw_aug_jitter,success,,1.0,0.9860139860139862,-0.0139860139860138,860,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,8.46997759595979,,,,,
cricket,3,raw_aug_jitter,success,,0.986013986013986,1.0,0.013986013986014,860,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,8.507363580050878,,,,,
epilepsy,1,dba_sameclass,success,,0.9717806041335452,0.9788059701492536,0.0070253660157084,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,15.67137412703596,,,,5.0,5.0
epilepsy,2,dba_sameclass,success,,0.9709217843885812,0.9787212787212788,0.0077994943326973,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,15.97969914204441,,,,5.0,5.0
epilepsy,3,dba_sameclass,success,,0.9326363277133825,0.9787212787212788,0.0460849510078962,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,15.203693969990129,,,,5.0,5.0
