dataset,method,seed_mean,seed_std,fail_reason_mean,fail_reason_std,base_f1_mean,base_f1_std,aug_f1_mean,aug_f1_std,gain_mean,gain_std,aug_count_mean,aug_count_std,aug_ratio_mean,aug_ratio_std,actual_aug_ratio_mean,actual_aug_ratio_std,train_split_only_mean,train_split_only_std,uses_external_library_mean,uses_external_library_std,budget_matched_mean,budget_matched_std,best_val_f1_mean,best_val_f1_std,stop_epoch_mean,stop_epoch_std,warning_count_mean,warning_count_std,fallback_count_mean,fallback_count_std,method_elapsed_sec_mean,method_elapsed_sec_std,transport_error_logeuc_mean_mean,transport_error_logeuc_mean_std,pca_n_components_mean,pca_n_components_std,pca_explained_variance_ratio_sum_mean,pca_explained_variance_ratio_sum_std,dba_k_mean,dba_k_std,dba_max_iter_mean,dba_max_iter_std
heartbeat,pca_cov_state,2.0,1.0,,,0.6530270182885037,0.01673649152957013,0.5920382176898239,0.0326442834200575,-0.0609888005986798,0.029361244687511247,1630.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6597121320876465,0.09255473493695014,15.0,1.7320508075688772,0.0,0.0,0.0,0.0,11.575868786972327,0.3021202782514728,9.570144361609014,0.04331591131876695,10.0,0.0,0.9248738487561544,0.0047619737763042085,,,,
heartbeat,random_cov_state,2.0,1.0,,,0.6530270182885037,0.01673649152957013,0.6278719355893646,0.04303455325546757,-0.025155082699138968,0.05553350409950271,1630.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.7378384513472233,0.04692006287610984,28.666666666666668,1.5275252316519463,0.0,0.0,0.0,0.0,14.86153931034884,0.5013993438026264,9.570240823821479,0.04335882744003728,,,,,,,,
heartbeat,raw_aug_jitter,2.0,1.0,,,0.6530270182885037,0.01673649152957013,0.546127800776575,0.06116050871977509,-0.1068992175119286,0.0750765202125584,1630.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6569986472990227,0.031655039372041886,17.666666666666668,9.073771725877467,0.0,0.0,0.0,0.0,5.6926349073570846,2.145676469931372,,,,,,,,,,
japanesevowels,dba_sameclass,2.0,1.0,,,0.9661509590323788,0.009167563041868563,0.9800850697535949,0.002614689611056866,0.013934110721215998,0.009216454919345817,2160.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9813519813519814,0.03229931575886024,28.0,3.4641016151377544,0.0,0.0,0.0,0.0,7.676330070981446,1.0715603352840322,,,,,,,5.0,0.0,5.0,0.0
japanesevowels,pca_cov_state,2.0,1.0,,,0.9661509590323788,0.009167563041868563,0.9701810617784151,0.008767104124671599,0.0040301027460364,0.009168969778264755,2160.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.987611154277821,0.021458110237946425,26.0,6.928203230275509,0.0,0.0,0.0,0.0,6.38886206500077,1.3535106171275793,2.45014976453226,0.010476758348797067,10.0,0.0,0.6231525937716166,0.0018936684166696689,,,,
japanesevowels,random_cov_state,2.0,1.0,,,0.9661509590323788,0.009167563041868563,0.9839705286795409,0.009416793921985411,0.017819569647161967,0.016350742685937662,2160.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9937839937839938,0.010766438586286595,24.333333333333332,9.814954576223638,0.0,0.0,0.0,0.0,6.061355147355546,1.8536128976191877,2.4500502719599986,0.010488979475366894,,,,,,,,
japanesevowels,raw_aug_jitter,2.0,1.0,,,0.9661509590323788,0.009167563041868563,0.9808285891033094,0.004356183242814777,0.014677630070930467,0.004861319804339782,2160.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9875679875679876,0.021532877172573465,25.333333333333332,8.082903768654761,0.0,0.0,0.0,0.0,4.818657025617237,1.506974084248959,,,,,,,,,,
libras,dba_sameclass,2.0,1.0,,,0.5604970086490186,0.47026135162447846,0.8979023247754497,0.03423063430950804,0.337405316126431,0.4930880070352651,1440.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8876719576719577,0.04210998728100723,30.0,0.0,0.0,0.0,0.0,0.0,6.516882513300516,0.20841440741324116,,,,,,,5.0,0.0,5.0,0.0
libras,pca_cov_state,2.0,1.0,,,0.5604970086490186,0.47026135162447846,0.894147141174047,0.05918925626206643,0.33365013252502845,0.5124669128274932,1440.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9073544973544974,0.045842614557656085,24.666666666666668,6.806859285554046,0.0,0.0,0.0,0.0,4.104270327991496,0.8930207424743931,0.24869457859858154,0.0032360031975789422,3.0,0.0,0.999999980131785,3.441275768999911e-08,,,,
libras,random_cov_state,2.0,1.0,,,0.5604970086490186,0.47026135162447846,0.8863739151294322,0.027549082333211673,0.3258769064804136,0.4950269792301833,1440.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.9149206349206351,0.04703557886337054,16.333333333333332,4.041451884327381,0.0,0.0,0.0,0.0,3.012527692015283,0.6023692480845297,0.24886895200699985,0.0035246562178742713,,,,,,,,
libras,raw_aug_jitter,2.0,1.0,,,0.5604970086490186,0.47026135162447846,0.8979226143517333,0.03702473601888913,0.33742560570271457,0.49418864797065576,1440.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9088359788359789,0.04649204271822456,18.0,2.0,0.0,0.0,0.0,0.0,2.4029079963220283,0.4315008950233937,,,,,,,,,,
motorimagery,dba_sameclass,2.0,1.0,,,0.436153208624094,0.05260533084918073,0.4794005162451454,0.08924539363977509,0.04324730762105136,0.04058931480200409,2220.0,0.0,10.0,0.0,10.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5810116453408253,0.0405519836575545,17.333333333333332,5.507570547286101,0.0,0.0,0.0,0.0,14957.424352498298,324.49299249569117,,,,,,,5.0,0.0,5.0,0.0
