dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,jobda_num_transforms,jobda_transform_subseqs,jobda_cleanroom,jobda_official_code_confirmed,guided_warp_mode,guided_warp_slope_constraint,guided_warp_use_window,guided_warp_dtw_value_mean,guided_warp_amount_mean,guided_warp_cleanroom_adapter,guided_warp_batch_size,guided_warp_positive_batch,guided_warp_negative_batch,guided_warp_use_variable_slice,guided_warp_score_mean
ering,3,jobda_cleanroom,success,,0.8501737413578302,0.797453220812756,-0.052720520545074145,72,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.7777777777777777,30,0,0,0.45353719900595024,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
ering,3,rgw_sameclass,success,,0.8501737413578302,0.8190053599132435,-0.031168381444586668,240,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,1.0,15,0,0,0.6759901900077239,,,,,rgw,symmetric,1.0,85.71897063748885,96.01770833333333,1.0,,,,,
ering,3,dgw_sameclass,success,,0.8501737413578302,0.723587187417006,-0.1265865539408242,240,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,1.0,20,0,0,4.415694776980672,,,,,dgw,symmetric,1.0,83.1207214918265,91.418359375,1.0,6.0,3.0,3.0,1.0,82.57526873152025
handmovementdirection,1,jobda_cleanroom,success,,0.23844289670902574,0.28004454926624733,0.04160165255722159,384,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.35416666666666663,11,0,0,0.9017561439541169,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
handmovementdirection,1,rgw_sameclass,success,,0.23844289670902574,0.3363455203077844,0.09790262359875868,1280,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.49507783882783885,20,0,0,32.55614785704529,,,,,rgw,symmetric,1.0,221393.16276848936,3434.9148829104006,1.0,,,,,
handmovementdirection,1,dgw_sameclass,success,,0.23844289670902574,0.33957862468500766,0.10113572797598191,1280,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.42499999999999993,18,0,0,467.92944394098595,,,,,dgw,symmetric,1.0,226808.3672138856,3494.2498472744364,1.0,6.0,3.0,3.0,1.0,10438.3048541048
handmovementdirection,2,jobda_cleanroom,success,,0.2030680813439434,0.2584295827123696,0.055361501368426186,384,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.3293650793650793,19,0,0,1.2965904309530742,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
handmovementdirection,2,rgw_sameclass,success,,0.2030680813439434,0.25137854976564655,0.04831046842170314,1280,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.35656565656565653,17,0,0,32.009369758015964,,,,,rgw,symmetric,1.0,221029.29975550095,3456.42071585213,1.0,,,,,
handmovementdirection,2,dgw_sameclass,success,,0.2030680813439434,0.36154556650246306,0.15847748515851964,1280,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.417772444946358,15,0,0,468.0147803819855,,,,,dgw,symmetric,1.0,225747.97219739313,3519.9972235275686,1.0,6.0,3.0,3.0,1.0,9438.393340127524
handmovementdirection,3,jobda_cleanroom,success,,0.18756284565108094,0.2789994257155274,0.09143658006444644,384,3.0,3.0,raw_time_tsw,joint_hard,resnet1d,True,False,none,False,jobda_cleanroom_tsw_joint_label,0.301727207977208,15,0,0,1.09806111297803,4.0,"0,2,4,8",1.0,0.0,,,,,,,,,,,
handmovementdirection,3,rgw_sameclass,success,,0.18756284565108094,0.29356087262491204,0.1059980269738311,1280,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,random_guided_warp_same_class_dtw_cleanroom,0.37837240159221586,30,0,0,34.03061980300117,,,,,rgw,symmetric,1.0,221009.01010545978,3400.8571056547617,1.0,,,,,
handmovementdirection,3,dgw_sameclass,success,,0.18756284565108094,0.3560059509252466,0.16844310527416567,1280,10.0,10.0,dtw_guided_warp,hard,resnet1d,True,False,none,True,discriminative_guided_warp_same_class_dtw_cleanroom,0.3991384711779449,16,0,0,467.8614422469982,,,,,dgw,symmetric,1.0,226087.74716265275,3473.167322603383,1.0,6.0,3.0,3.0,1.0,9530.375976051691
