dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,wdba_k,wdba_max_iter,wdba_tau
articularywordrecognition,1,wdba_sameclass,success,,0.9730638636725591,0.9632278716452628,-0.0098359920272963,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,20,0,0,33.08837685198523,5.0,5.0,24.488737535370213
articularywordrecognition,2,wdba_sameclass,success,,0.952954070084505,0.9799417857504816,0.0269877156659765,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.944952380952381,14,0,0,29.55092580500059,5.0,5.0,24.90315760791545
articularywordrecognition,3,wdba_sameclass,success,,0.9633028826246216,0.9693990338164252,0.0060961511918034,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,34.31495475600241,5.0,5.0,24.81494382006492
epilepsy,1,wdba_sameclass,success,,0.9717806041335452,0.9559729112740868,-0.0158076928594583,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,30.26830198103562,5.0,5.0,21.999834069040457
epilepsy,2,wdba_sameclass,success,,0.9709217843885812,0.9716905901116428,0.0007688057230613,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,31.92344021500321,5.0,5.0,22.31587302567862
epilepsy,3,wdba_sameclass,success,,0.9326363277133825,0.9481675858388188,0.0155312581254363,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,35.55422954203095,5.0,5.0,22.37111882127596
handmovementdirection,1,wdba_sameclass,success,,0.2384428967090257,0.3542478354978355,0.1158049387888097,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5208333333333334,29,0,0,84.4154401649721,5.0,5.0,10071.54506849434
handmovementdirection,2,wdba_sameclass,success,,0.2030680813439434,0.3709514170040486,0.1678833356601052,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.4464770523594052,25,0,0,83.86159912100993,5.0,5.0,10039.167318633898
handmovementdirection,3,wdba_sameclass,success,,0.1875628456510809,0.3830166124420783,0.1954537667909973,1280,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5087542087542087,20,0,0,82.65842734504258,5.0,5.0,10002.820101026224
japanesevowels,1,wdba_sameclass,success,,0.9561456014766324,0.9660935593023928,0.0099479578257604,2160,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9627039627039627,15,0,0,15.982847378007136,5.0,5.0,2.521020860039065
japanesevowels,2,wdba_sameclass,success,,0.9741476029508114,0.978029905954106,0.0038823030032946,2160,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,22.07428992300993,5.0,5.0,2.571520915083758
japanesevowels,3,wdba_sameclass,success,,0.9681596726696928,0.9804414285788328,0.0122817559091397,2160,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,26,0,0,21.97250996803632,5.0,5.0,2.5399708299206387
pendigits,1,wdba_sameclass,success,,0.9857407704625456,0.9880817323966744,0.002340961934129,59950,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9986645149567536,30,0,0,253.6384324040264,5.0,5.0,82.82564817811657
pendigits,2,wdba_sameclass,success,,0.9815965953307092,0.985139040935224,0.0035424456045148,59950,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9979969507871476,20,0,0,194.26475083996772,5.0,5.0,83.06859760202848
pendigits,3,wdba_sameclass,success,,0.9817358708901702,0.9790358828367288,-0.0026999880534415,59950,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9980193536664312,30,0,0,249.02238517504884,5.0,5.0,83.17071825853259
atrialfibrillation,1,wdba_sameclass,success,,0.2164502164502164,0.334045584045584,0.1175953675953676,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.5555555555555555,30,120,120,30.48384249798255,5.0,5.0,6.7119545258324775
atrialfibrillation,2,wdba_sameclass,success,,0.3205128205128205,0.2878787878787879,-0.0326340326340326,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,120,120,21.79520334099652,5.0,5.0,6.750113428283223
atrialfibrillation,3,wdba_sameclass,success,,0.1666666666666666,0.3119047619047619,0.1452380952380952,120,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,14,120,120,19.809560609981418,5.0,5.0,5.451071620633777
ering,1,wdba_sameclass,success,,0.5424850558740912,0.6824783733543481,0.1399933174802569,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.7777777777777777,15,240,240,2.7241598070249893,5.0,5.0,10.99836809663957
ering,2,wdba_sameclass,success,,0.848105426301868,0.7820445837687217,-0.0660608425331463,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,240,240,3.228590360027738,5.0,5.0,11.326682745148547
ering,3,wdba_sameclass,success,,0.8501737413578302,0.8534047914877695,0.0032310501299392,240,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,29,240,240,3.150469013024121,5.0,5.0,11.040286949023267
handwriting,1,wdba_sameclass,success,,0.382737297846506,0.4456288664208622,0.0628915685743562,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.3152777777777777,22,400,400,27.58699031895958,5.0,5.0,18.542979463852216
handwriting,2,wdba_sameclass,success,,0.4136709560472157,0.3658599739639416,-0.047810982083274,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.4555555555555555,18,400,400,26.02736906800419,5.0,5.0,19.20844606904073
handwriting,3,wdba_sameclass,success,,0.4038917991696072,0.3983315202956768,-0.0055602788739303,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.3472222222222221,30,400,400,27.59126404201379,5.0,5.0,18.88366672603484
libras,1,wdba_sameclass,success,,0.8667137210615472,0.9259153687786214,0.0592016477170741,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9244444444444444,29,0,0,10.300372642988805,5.0,5.0,1.4689409224905092
libras,2,wdba_sameclass,success,,0.0190341332066207,0.870429412777239,0.8513952795706182,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.8907936507936508,17,0,0,8.683622137992643,5.0,5.0,1.4659865515020696
libras,3,wdba_sameclass,success,,0.7957431716788879,0.8671686767338943,0.0714255050550064,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.8352380952380953,29,0,0,10.165187422011511,5.0,5.0,1.4266217627467954
racketsports,1,wdba_sameclass,success,,0.8656212251404092,0.8974447898202618,0.0318235646798525,1200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9705882352941176,17,0,0,9.436465997016056,5.0,5.0,81.66226039613369
