dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,wdba_k,wdba_max_iter,wdba_tau
cricket,1,wdba_sameclass,success,,0.9860139860139862,0.9860139860139862,0.0,860,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,682.6551170040038,5.0,5.0,46.96640309578467
cricket,2,wdba_sameclass,success,,1.0,0.9860139860139862,-0.013986013986013845,860,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,710.2259385030484,5.0,5.0,46.46911449747922
cricket,3,wdba_sameclass,success,,0.9860139860139859,0.9860139860139862,2.220446049250313e-16,860,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,30,0,0,636.7887123710243,5.0,5.0,47.05512941571859
fingermovements,1,wdba_sameclass,success,,0.4591346153846154,0.5598239295718287,0.10068931418721327,2520,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.6871945259042034,23,0,0,14.961614038969856,5.0,5.0,1365.1564068520881
fingermovements,2,wdba_sameclass,success,,0.537037037037037,0.5798319327731092,0.0427948957360722,2520,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.6847290640394088,21,0,0,12.417202620999888,5.0,5.0,1317.9059361704224
fingermovements,3,wdba_sameclass,success,,0.4456893501592169,0.5696126513862476,0.12392330122703071,2520,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.6717948717948719,18,0,0,13.94062952202512,5.0,5.0,1351.2166120089416
heartbeat,1,wdba_sameclass,success,,0.6549286291408565,0.6688408668353196,0.013912237694463148,1630,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.7354838709677419,18,0,0,344.8904367889627,5.0,5.0,42.50032824311626
heartbeat,2,wdba_sameclass,success,,0.6354209417494323,0.6781377166842898,0.04271677493485748,1630,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.6440972222222222,17,0,0,342.1120726520312,5.0,5.0,41.208369009271955
heartbeat,3,wdba_sameclass,success,,0.6687314839752222,0.6819141012909633,0.013182617315741108,1630,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.7885040530582166,30,0,0,345.03302607301157,5.0,5.0,45.137418544969755
natops,1,wdba_sameclass,success,,0.9373000436629222,0.9604306383507204,0.02313059468779821,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,29,0,0,8.427169600967318,5.0,5.0,11.578942162904728
natops,2,wdba_sameclass,success,,0.9070392331641024,0.9387630329108326,0.03172379974673023,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,1.0,13,0,0,6.509119267982896,5.0,5.0,11.561992780484731
natops,3,wdba_sameclass,success,,0.9205883200225039,0.9422418566904924,0.021653536667988527,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,26,0,0,9.7841667230241,5.0,5.0,11.490804832062672
uwavegesturelibrary,1,wdba_sameclass,success,,0.7495563358211801,0.7841518484730275,0.03459551265184746,960,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9571428571428572,22,0,0,52.18072349001886,5.0,5.0,24.66415144878129
uwavegesturelibrary,2,wdba_sameclass,success,,0.7165712186127566,0.6554065863617642,-0.061164632250992446,960,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.8708333333333333,17,0,0,52.75857815501513,5.0,5.0,24.796314420557163
uwavegesturelibrary,3,wdba_sameclass,success,,0.6619287350644507,0.7826687335071572,0.12073999844270644,960,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.9571428571428571,23,0,0,52.87034987000516,5.0,5.0,24.448629368859848
