alignment_metric,performance_metric,n_pairs,pearson,spearman
selected_alignment_mean,csta_u5_gain_vs_no_aug,1,,
selected_alignment_mean,csta_u5_delta_vs_random_cov_state,1,,
selected_alignment_mean,csta_u5_delta_vs_pca_cov_state,1,,
selected_minus_random_alignment,csta_u5_gain_vs_no_aug,1,,
selected_minus_random_alignment,csta_u5_delta_vs_random_cov_state,1,,
selected_minus_random_alignment,csta_u5_delta_vs_pca_cov_state,1,,
selected_minus_pca_alignment,csta_u5_gain_vs_no_aug,1,,
selected_minus_pca_alignment,csta_u5_delta_vs_random_cov_state,1,,
selected_minus_pca_alignment,csta_u5_delta_vs_pca_cov_state,1,,
