dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
handmovementdirection,1,random_cov_state,success,,0.3160753185521172,0.29391275808569045,-0.02216256046642673,1280,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.38213716108452955,13,0,0,32.574323259992525,1.1122564932851676e-07,,
handmovementdirection,1,pca_cov_state,success,,0.3160753185521172,0.26137798647197147,-0.05469733208014571,1280,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.38213716108452955,13,0,0,36.8201311158482,1.1122576163040905e-07,10.0,0.614203155040741
handmovementdirection,2,random_cov_state,success,,0.23263305322128852,0.30377972264382,0.0711466694225315,1280,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.32553688141923437,16,0,0,45.45399760804139,1.1118641264596458e-07,,
handmovementdirection,2,pca_cov_state,success,,0.23263305322128852,0.2967840982546865,0.06415104503339797,1280,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.3540064102564103,14,0,0,34.40044353995472,1.1119543866528438e-07,10.0,0.6061246395111084
handmovementdirection,3,random_cov_state,success,,0.2367232737014951,0.25736103433600266,0.020637760634507563,1280,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.22424242424242424,11,0,0,31.165811798069626,1.1147033529183393e-07,,
handmovementdirection,3,pca_cov_state,success,,0.2367232737014951,0.25633145460731666,0.01960818090582156,1280,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.19973262032085562,11,0,0,31.93283418705687,1.1148696691926239e-07,10.0,0.6058002710342407
