combo,gamma,eta_safe,n_dataset_seed,n_datasets,mean_f1_over_datasets,mean_f1_over_dataset_seed,std_f1_over_datasets
g0.1_e0.5,0.1,0.5,21,7,0.6630284018296317,0.6630284018296319,0.32043721823096977
g0.1_e0.75,0.1,0.75,21,7,0.6630284018296317,0.6630284018296319,0.32043721823096977
g0.1_e0.25,0.1,0.25,21,7,0.6630284018296317,0.6630284018296319,0.32043721823096977
g0.05_e0.25,0.05,0.25,21,7,0.6530607446773222,0.6530607446773222,0.3422826197681189
g0.05_e0.75,0.05,0.75,21,7,0.6530607446773222,0.6530607446773222,0.3422826197681189
g0.05_e0.5,0.05,0.5,21,7,0.6530607446773222,0.6530607446773222,0.3422826197681189
g0.2_e0.25,0.2,0.25,21,7,0.6514516133909585,0.6514516133909585,0.335633670947683
g0.2_e0.5,0.2,0.5,21,7,0.6514516133909585,0.6514516133909585,0.335633670947683
g0.2_e0.75,0.2,0.75,21,7,0.6514516133909585,0.6514516133909585,0.335633670947683
