reference_method,n_pairs,mean_delta,median_delta,win_count,tie_count,loss_count,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p_value
no_aug,21,0.041791698168031306,0.02917675544794185,18,0,3,0.0106142360498955,0.0734686156690352,0.0006074905395507812
csta_top1_current,21,0.01256129821626724,0.005637638271703271,13,0,8,-0.0047853924649157,0.03382518196708902,0.39258384704589844
dba_sameclass,21,-0.00028055007535093953,0.00011018765006842735,11,0,10,-0.029070456248140572,0.029077471292575985,0.8116779327392578
wdba_sameclass,21,-0.004893823101597995,0.006046160760143637,12,0,9,-0.03149191374949164,0.021239477715916524,0.9728584289550781
