method,debug_probe,mean_f1,ci_low,ci_high,delta_vs_u5,delta_vs_random_cov,delta_vs_bank_random,delta_vs_latent_direct,delta_vs_latent_flow,delta_vs_wdba,task_utility_mean,task_utility_std,task_margin_mean,task_margin_std,task_bad_margin_mass,task_wrong_pred_mass,task_sampling_entropy,task_sampling_effective_support,task_kl_task_vs_geo,task_guidance_fallback_rate,task_invalid_candidate_rate,task_warmup_train_loss_mean,latent_train_mse_mean,latent_train_pred_target_cosine_mean,latent_train_cosine_loss_mean,latent_generated_direction_pairwise_cosine_mean,latent_unique_direction_ratio,latent_effective_aug_multiplier,latent_residual_effective_rank,latent_residual_pairwise_cosine_mean,bridge_success_rate,gamma_used_ratio_mean,safe_clip_rate,transport_error_logeuc_mean,seed_wins_vs_u5,seed_ties_vs_u5,seed_losses_vs_u5,dataset_wins_vs_u5,dataset_ties_vs_u5,dataset_losses_vs_u5,paired_delta_vs_u5_mean,paired_delta_vs_u5_ci_low,paired_delta_vs_u5_ci_high,wilcoxon_p_vs_u5,seed_wins_vs_random_cov,seed_ties_vs_random_cov,seed_losses_vs_random_cov,dataset_wins_vs_random_cov,dataset_ties_vs_random_cov,dataset_losses_vs_random_cov,paired_delta_vs_random_cov_mean,paired_delta_vs_random_cov_ci_low,paired_delta_vs_random_cov_ci_high,wilcoxon_p_vs_random_cov,seed_wins_vs_bank_random,seed_ties_vs_bank_random,seed_losses_vs_bank_random,dataset_wins_vs_bank_random,dataset_ties_vs_bank_random,dataset_losses_vs_bank_random,paired_delta_vs_bank_random_mean,paired_delta_vs_bank_random_ci_low,paired_delta_vs_bank_random_ci_high,wilcoxon_p_vs_bank_random,seed_wins_vs_latent_direct,seed_ties_vs_latent_direct,seed_losses_vs_latent_direct,dataset_wins_vs_latent_direct,dataset_ties_vs_latent_direct,dataset_losses_vs_latent_direct,paired_delta_vs_latent_direct_mean,paired_delta_vs_latent_direct_ci_low,paired_delta_vs_latent_direct_ci_high,wilcoxon_p_vs_latent_direct,seed_wins_vs_latent_flow,seed_ties_vs_latent_flow,seed_losses_vs_latent_flow,dataset_wins_vs_latent_flow,dataset_ties_vs_latent_flow,dataset_losses_vs_latent_flow,paired_delta_vs_latent_flow_mean,paired_delta_vs_latent_flow_ci_low,paired_delta_vs_latent_flow_ci_high,wilcoxon_p_vs_latent_flow,seed_wins_vs_wdba,seed_ties_vs_wdba,seed_losses_vs_wdba,dataset_wins_vs_wdba,dataset_ties_vs_wdba,dataset_losses_vs_wdba,paired_delta_vs_wdba_mean,paired_delta_vs_wdba_ci_low,paired_delta_vs_wdba_ci_high,wilcoxon_p_vs_wdba
task_guided_latent_residual_flow,False,0.9450587989907948,0.9169174739495365,0.9697173154737725,0.002663724884894747,0.004347627012827648,0.016438787044848358,0.004334949376913144,0.006413581507685673,0.005439508380638447,0.11790041559247731,0.1569713659402358,3.6626031076639083,1.4351224672963285,0.018772852349341066,0.018772852349341066,2.7048685297594037,15.31427264838097,0.505748944557875,0.0,0.0,0.31803574893899533,0.030049269605013997,0.869274463918474,0.13072556919521752,0.1193669131420329,1.0,10.0,37.42886370218513,6.512215527129997e-05,1.0,,0.0,1.7911650526885525,5,0,4,2,0,1,0.0026637248848945497,-0.0018248136685106546,0.007294233110331805,0.359375,5,0,4,2,0,1,0.004347627012827525,-0.0033786757872554547,0.013150276205143495,0.42578125,7,0,2,3,0,0,0.01643878704484815,0.005499268280714844,0.0297206740472598,0.0390625,7,0,2,3,0,0,0.004334949376912984,-0.0004075806630976554,0.008887956814881534,0.203125,6,1,2,2,0,1,0.0064135815076855,-0.00232901680267004,0.013956458494951569,0.1484375,5,0,4,2,0,1,0.005439508380638163,-0.007262870536592593,0.016561266123592204,0.42578125
csta_topk_uniform_top5,False,0.9423950741059001,0.9146798244775687,0.9665939435001278,0.0,0.0016839021279329014,0.01377506215995361,0.0016712244920183972,0.003749856622790926,0.0027757834957437,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.7887044817008326,0,9,0,0,3,0,0.0,0.0,0.0,,3,1,5,2,0,1,0.0016839021279329753,-0.003484809984903368,0.007556144569420268,0.7421875,9,0,0,3,0,0,0.013775062159953598,0.006095895708828315,0.023624098545235686,0.00390625,3,0,6,2,0,1,0.0016712244920184343,-0.0026839728556439725,0.006833981330681212,0.91015625,5,0,4,2,0,1,0.0037498566227909505,-0.0034532136759145844,0.01115670002067924,0.42578125,6,0,3,2,0,1,0.0027757834957436137,-0.007027815049716036,0.011168568184833914,0.65234375
latent_residual_direct,False,0.9407238496138817,0.9102668533406199,0.9661532742623081,-0.0016712244920183972,1.2677635914504215e-05,0.012103837667935213,0.0,0.0020786321307725286,0.0011045590037253028,,,,,,,,,,,,,0.0,1.0,0.0,0.49942980750512916,0.821522633744856,8.21522633744856,39.67815744735682,-0.002214531507621589,1.0,,0.0,1.7986204210883285,6,0,3,1,0,2,-0.0016712244920184343,-0.006833981330681212,0.0026839728556439725,0.91015625,4,0,5,1,0,2,1.2677635914541222e-05,-0.00799600052294544,0.008043047293240015,1.0,6,1,2,2,0,1,0.012103837667935165,0.0001337610243851874,0.025292545828635722,0.1484375,0,9,0,0,3,0,0.0,0.0,0.0,,4,0,5,1,0,2,0.0020786321307725165,-0.004571620320424526,0.010321455070528385,1.0,5,0,4,2,0,1,0.0011045590037251794,-0.011259104601868002,0.012048640567133083,0.734375
random_cov_state,False,0.9407111719779672,0.9122953102603474,0.9678439360803719,-0.0016839021279329014,0.0,0.012091160032020709,-1.2677635914504215e-05,0.0020659544948580244,0.0010918813678107986,,,,,,,,,,,,,,,,,,,,,,,,1.788652071918718,5,1,3,1,0,2,-0.0016839021279329753,-0.0075561445694202695,0.003484809984903364,0.7421875,0,9,0,0,3,0,0.0,0.0,0.0,,8,0,1,3,0,0,0.012091160032020622,0.003653126280430016,0.021233008414792694,0.01953125,5,0,4,2,0,1,-1.2677635914541222e-05,-0.008043047293240017,0.007996000522945438,1.0,5,0,4,3,0,0,0.002065954494857975,-0.008297978227918097,0.01290375182544534,0.734375,5,0,4,2,0,1,0.0010918813678106381,-0.01158465802266406,0.01293756324123979,0.734375
wdba_sameclass,False,0.9396192906101564,0.9173739993678728,0.9599455650745718,-0.0027757834957437,-0.0010918813678107986,0.01099927866420991,-0.0011045590037253028,0.0009740731270472258,0.0,,,,,,,,,,,,,,,,,,,,,,,,,3,0,6,1,0,2,-0.0027757834957436137,-0.01116856818483392,0.0070278150497160245,0.65234375,4,0,5,1,0,2,-0.0010918813678106381,-0.012937563241239798,0.011584658022664056,0.734375,6,0,3,3,0,0,0.010999278664209985,0.0021288675789865583,0.020969696800685226,0.07421875,4,0,5,1,0,2,-0.0011045590037251794,-0.012048640567133085,0.011259104601867983,0.734375,4,0,5,1,0,2,0.0009740731270473368,-0.00764816234479158,0.010647810757251644,0.91015625,0,9,0,0,3,0,0.0,0.0,0.0,
task_guided_residual_direct,True,0.9392563614408904,0.9078589717877534,0.9638185997339734,-0.0031387126650096464,-0.001454810537076745,0.010636349494943964,-0.0014674881729912492,0.0006111439577812794,-0.00036292916926594643,0.11790041559247731,0.1569713659402358,3.6626031076639083,1.4351224672963285,0.018772852349341066,0.018772852349341066,2.7048685297594037,15.31427264838097,0.505748944557875,0.0,0.0,0.31803574893899533,0.0,1.0,0.0,0.543188335052906,0.6938683127572016,6.938683127572016,37.42886370218513,6.512215527129997e-05,1.0,,0.0,1.7988217860769184,2,0,7,1,0,2,-0.0031387126650098437,-0.008756441545196772,0.0033474980003887016,0.30078125,3,0,6,1,0,2,-0.0014548105370768684,-0.010869602024464199,0.009202978798222511,0.8203125,6,0,3,2,0,1,0.010636349494943754,-0.0017228231681908866,0.026181555291240406,0.359375,4,0,5,1,0,2,-0.0014674881729914097,-0.006029501372184753,0.003280939398041003,0.49609375,3,0,6,1,0,2,0.0006111439577811067,-0.007900378271955468,0.009921872333672211,0.8203125,4,0,5,1,0,2,-0.00036292916926623016,-0.012731636423565573,0.011617626305420578,1.0
latent_residual_flow,False,0.9386452174831091,0.9101033292838427,0.9646842432576908,-0.003749856622790926,-0.0020659544948580244,0.010025205537162685,-0.0020786321307725286,0.0,-0.0009740731270472258,,,,,,,,,,,,,0.0302280054117242,0.8708180851406522,0.12918192086120442,0.1118895515657381,1.0,10.0,39.67815744735682,-0.002214531507621589,1.0,,0.0,1.7909622963681369,4,0,5,1,0,2,-0.0037498566227909505,-0.011156700020679243,0.0034532136759145727,0.42578125,4,0,5,0,0,3,-0.002065954494857975,-0.012903751825445346,0.008297978227918093,0.734375,7,0,2,3,0,0,0.010025205537162648,0.0007136144942749338,0.01995186784057186,0.07421875,5,0,4,2,0,1,-0.0020786321307725165,-0.010321455070528387,0.004571620320424519,1.0,0,9,0,0,3,0,0.0,0.0,0.0,,5,0,4,2,0,1,-0.0009740731270473368,-0.010647810757251647,0.0076481623447915755,0.91015625
dba_sameclass,False,0.9366234043884969,0.9046003608514931,0.964112719962395,-0.005771669717403172,-0.00408776758947027,0.008003392442550439,-0.0041004452253847745,-0.002021813094612246,-0.0029958862216594717,,,,,,,,,,,,,,,,,,,,,,,,,3,0,6,1,0,2,-0.005771669717403233,-0.012227149674690716,-0.00022186660408410417,0.203125,4,0,5,1,0,2,-0.004087767589470258,-0.011349992118512982,0.0028558557972961744,0.42578125,7,0,2,2,0,1,0.008003392442550364,-0.0035929208832131,0.021074601943028095,0.30078125,3,0,6,1,0,2,-0.004100445225384799,-0.0090509972238257,0.0006456818680323408,0.203125,3,0,6,1,0,2,-0.0020218130946122828,-0.009828900984701286,0.006561360607362243,0.65234375,5,0,4,2,0,1,-0.0029958862216596196,-0.015033155816207544,0.0076868114291527454,0.91015625
csta_template_random_within_bank,False,0.9286200119459465,0.9033173622275026,0.9535848327420301,-0.01377506215995361,-0.012091160032020709,0.0,-0.012103837667935213,-0.010025205537162685,-0.01099927866420991,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.7887051984368452,0,0,9,0,0,3,-0.013775062159953598,-0.02362409854523569,-0.006095895708828328,0.00390625,1,0,8,0,0,3,-0.012091160032020622,-0.021233008414792694,-0.0036531262804300312,0.01953125,0,9,0,0,3,0,0.0,0.0,0.0,,2,1,6,1,0,2,-0.012103837667935165,-0.02529254582863573,-0.00013376102438520656,0.1484375,2,0,7,0,0,3,-0.010025205537162648,-0.01995186784057186,-0.0007136144942749347,0.07421875,3,0,6,0,0,3,-0.010999278664209985,-0.020969696800685226,-0.002128867578986564,0.07421875
