dataset,best_phase2_baseline,best_phase2_overall_mean_f1,best_phase2_f1,csta_top1_current,csta_group_template_top,best_phase2_minus_csta_top1,best_phase2_minus_csta_group
atrialfibrillation,wdba_sameclass,0.9396192906101566,,0.17670847670847667,0.1291033585151232,,
ering,wdba_sameclass,0.9396192906101566,,0.837231988455564,0.7834727436167497,,
handmovementdirection,wdba_sameclass,0.9396192906101566,,0.2754524178509126,0.2688544678780615,,
handwriting,wdba_sameclass,0.9396192906101566,,0.46049183816916345,0.476070456900701,,
japanesevowels,wdba_sameclass,0.9396192906101566,0.9748549646117772,0.97049413005379,0.9698710284725901,0.004360834557987192,0.004983936139187128
natops,wdba_sameclass,0.9396192906101566,0.9471451759840152,0.9607853534384795,0.9659304125637961,-0.01364017745446433,-0.01878523657978093
racketsports,wdba_sameclass,0.9396192906101566,0.8968577312346774,0.8721055206171656,0.8922015072213133,0.02475221061751176,0.004656224013364074
