dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,template_usage_entropy,top_template_concentration,effective_k_dir_zpia,u_perp_norm_ratio_mean,u_perp_zero_rate,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std
natops,1,success,zpia_top1_pool,resnet1d,act,0.9373000436629222,0.9601036657949743,0.022803622132052115,2.4329050076677357,18,17,0.972027972027972,0.972027972027972,0.00044728965191475397,2.911503125762369,1.3589759004687896,0.49941990676051407,0.03614667707533856,5.82076716417455,-0.0024527900386601686,0.5,1440,1440,10,10,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,1.2082755326541423,0.5208333333333334,10,0.0,0.0,300,144,True,0.9999999999999999,1.0,1.0,0,0.7413955341463061,0.757840911898841,0.011585180050557838
natops,2,success,zpia_top1_pool,resnet1d,act,0.9070392331641024,0.9604946174708763,0.05345538430677388,5.893392089216343,27,19,1.0,1.0,0.00044861261579778655,2.9148412447969303,1.4075779300035136,0.5541958646068814,0.03673116140048603,5.7362806886113855,-0.0027496644761413336,0.5,1440,1440,10,10,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,1.8575993708735523,0.4513888888888889,10,0.0,0.0,300,144,True,0.9999999999999999,1.0,1.0,0,0.753430123513149,0.7592133258157752,0.01079501165234617
natops,3,success,zpia_top1_pool,resnet1d,act,0.9205883200225039,0.9551867505887935,0.03459843056628964,3.75829521790464,30,30,0.9458874458874459,0.972027972027972,0.0004470833621487132,2.9214642107123643,1.358631508031084,0.4990539107014415,0.037422359674374184,5.643837013582447,-0.0023131025955080986,0.5034722222222222,1440,1440,10,10,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,0.45644764471841914,0.9097222222222222,10,0.0,0.0,300,144,True,0.9999999999999999,1.0,1.0,0,0.7591960365934863,0.7556615765190766,0.011453839345274181
