dataset,seed,method,n_train,z_dim,n_classes,tangent_available_rate,insufficient_neighbor_count,fallback_count,selected_alignment_mean,selected_alignment_std,random_alignment_mean,random_alignment_std,pca_alignment_mean,pca_alignment_std,selected_minus_random_alignment,selected_minus_pca_alignment,selected_normal_leakage_mean,random_normal_leakage_mean,pca_normal_leakage_mean,actual_candidate_audit_available,audit_source,top1_alignment_mean,top5_alignment_mean,top5_alignment_std_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,top5_response_mean,top5_response_std_mean,k_neighbors,tangent_dim_policy,explained_var_threshold,max_tangent_dim
racketsports,3,csta_top1_current,120,21,4,1.0,0,0,0.36779033765233643,0.17059953004315548,0.22440679544921183,0.12867843803601706,0.31519446435864057,0.16792085068315024,0.1433835422031246,0.05259587329369586,0.6322096623476635,0.7755932045507882,0.6848055356413594,False,policy_replay,0.3677903376523365,0.32182517989660187,0.14386274030030935,2.691666666666667,0.04596515775573458,0.8938207165898235,0.2919146602820289,8,auto,0.9,10
racketsports,3,csta_topk_uniform_top5,120,21,4,1.0,0,0,0.32502142721839455,0.17014889920137266,0.22440679544921183,0.12867843803601706,0.31519446435864057,0.16792085068315024,0.10061463176918273,0.009826962859753985,0.6749785727816054,0.7755932045507882,0.6848055356413594,True,actual_candidate_audit,0.3677903376523365,0.32182517989660187,0.14386274030030935,3.0833333333333335,0.0031962473217927423,0.8938207165898235,0.2919146602820289,8,auto,0.9,10
racketsports,3,pca_cov_state,120,21,4,1.0,0,0,,,,,0.31519446435864057,0.16792085068315024,,,,,0.6848055356413594,False,policy_replay,0.36779033765233643,0.32182517989660187,0.14386274030030932,,,0.8938207165898234,0.2919146602820289,8,auto,0.9,10
racketsports,3,random_cov_state,120,21,4,1.0,0,0,,,0.22440679544921183,0.12867843803601706,,,,,,0.7755932045507882,,False,policy_replay,0.36779033765233643,0.32182517989660187,0.14386274030030932,,,0.8938207165898234,0.2919146602820289,8,auto,0.9,10
