dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source
ering,1,success,lraes,resnet1d,act,0.5424850558740912,0.770728365739663,0.22824330986557173,42.0736507523067,24,22,0.7777777777777777,0.7777777777777777,0.00018171270949048483,0.001317412766494702,1.095832864908742,0.1432252431642479,0.9999999999899996,1.0850636769840405,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes
ering,2,success,lraes,resnet1d,act,0.848105426301868,0.8240516523377348,-0.024053773964133218,-2.8361770107805793,30,22,0.7777777777777778,1.0,0.00018122580477227757,0.0013010544451996311,1.099629096427782,0.1460622400730903,0.9999999999899996,1.048420083095513,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes
ering,3,success,lraes,resnet1d,act,0.8501737413578302,0.8887503548995355,0.038576613541705274,4.53749711707123,30,22,0.7777777777777778,1.0,0.00018131686297898121,0.001348798039209703,1.100114671294853,0.1455349736666136,0.9999999999899996,1.0999095086492525,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes
