phase,dataset,method,aug_f1_mean,aug_f1_std,gain_mean,actual_aug_ratio_mean,method_elapsed_sec_mean,fallback_count_mean,n_seeds
phase2_new,atrialfibrillation,wdba_sameclass,0.3112763779430446,0.023089811971497995,0.07673314339981006,10.0,19.445772828767076,120.0,3
phase2_new,atrialfibrillation,csta_topk_uniform_top5,0.26854256854256847,0.10282668713089323,0.03399933399933403,10.0,4.834429228367905,0.0,3
phase1_locked,atrialfibrillation,dba_sameclass,0.2589506172839506,0.0682950141814794,0.024407382740716032,10.0,,,3
phase2_new,atrialfibrillation,dba_sameclass,0.2589506172839506,0.0682950141814794,0.024407382740716032,10.0,15.73104374910084,120.0,3
phase1_locked,atrialfibrillation,raw_aug_jitter,0.23888888888888885,0.08940820521906159,0.004345654345654371,10.0,,,3
phase1_locked,atrialfibrillation,no_aug,0.23454323454323447,0.078502724418324,0.0,0.0,,,3
phase1_locked,atrialfibrillation,raw_smote_flatten_balanced,0.23454323454323447,0.078502724418324,0.0,0.0,,,3
phase1_locked,atrialfibrillation,raw_aug_timewarp,0.23063356396689727,0.11080176518735335,-0.003909670576337269,10.0,,,3
phase2_new,atrialfibrillation,csta_template_random_within_bank,0.22866762866762866,0.10664721144223155,-0.005875605875605862,10.0,4.859624390645574,0.0,3
phase2_new,atrialfibrillation,latent_residual_flow,0.18487654320987645,0.025396940218729246,-0.049666691333358,10.0,5.300248507953559,0.0,3
phase2_new,atrialfibrillation,task_guided_latent_residual_flow,0.17730417730417727,0.07913633270573031,-0.057239057239057166,10.0,5.418917745041351,0.0,3
phase1_locked,atrialfibrillation,csta_top1_current,0.17670847670847667,0.03028377264448496,-0.0578347578347578,10.0,,,3
phase1_locked,atrialfibrillation,random_cov_state,0.17222222222222217,0.10555555555555554,-0.06232101232101234,10.0,,,3
phase2_new,atrialfibrillation,random_cov_state,0.17222222222222217,0.10555555555555554,-0.06232101232101234,10.0,0.8729884733911604,0.0,3
