dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
articularywordrecognition,1,random_cov_state,success,,0.9899826086956521,0.9899826086956521,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,16.50791427004151,0.0271130358888424,,
articularywordrecognition,1,pca_cov_state,success,,0.9899826086956521,0.9899826086956521,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,35.80851196986623,0.027107405446170876,10.0,0.6842184066772461
articularywordrecognition,2,random_cov_state,success,,0.9831112192155671,0.9831112192155671,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,38.487608834169805,0.0258814723307986,,
articularywordrecognition,2,pca_cov_state,success,,0.9831112192155671,0.9866084524171481,0.003497233201581018,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,27.35170832485892,0.025882129571448934,10.0,0.6817032694816589
articularywordrecognition,3,random_cov_state,success,,0.9898245059288538,0.9898245059288538,0.0,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,random_unit_z_direction,,0,0,0,46.773842324037105,0.026202933975999664,,
articularywordrecognition,3,pca_cov_state,success,,0.9898245059288538,0.9864853754940711,-0.0033391304347827333,2200,10.0,10.0,covariance_state,hard,minirocket,True,False,none,True,pca_top_z_direction,,0,0,0,29.14563118503429,0.026203935012643016,10.0,0.6834048628807068
