reference_method,n_pairs,mean_delta,median_delta,win_count,tie_count,loss_count,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_p_value
no_aug,21,0.04400510081337,0.03447131293287842,18,0,3,0.013287947371743464,0.07553615049696297,0.0006074905395507812
csta_top1_current,21,0.014774700861605941,0.006114793410316954,14,0,7,-0.002408611106011705,0.03556098134343678,0.1571340560913086
dba_sameclass,21,0.0019328525699877576,0.00011018765006842735,11,0,10,-0.027676803092458707,0.03239233553891614,0.7592878341674805
wdba_sameclass,21,-0.002680420456259293,0.006046160760143637,12,0,9,-0.030017033380700938,0.024298315900609345,1.0
