combo,gamma,eta_safe,n_dataset_seed,n_datasets,mean_f1_over_datasets,mean_f1_over_dataset_seed,std_f1_over_datasets
g0.1_e0.75,0.1,0.75,21,7,0.6652418044749704,0.6652418044749705,0.31879042060522067
g0.1_e0.5,0.1,0.5,21,7,0.6630284018296317,0.6630284018296319,0.32043721823096977
g0.1_e0.25,0.1,0.25,21,7,0.6629497957042296,0.6629497957042296,0.3204975140361521
g0.2_e0.25,0.2,0.25,21,7,0.6584402660442258,0.6584402660442258,0.3432415731372831
g0.05_e0.25,0.05,0.25,21,7,0.655586208103171,0.655586208103171,0.34059362218447664
g0.05_e0.5,0.05,0.5,21,7,0.6530607446773222,0.6530607446773222,0.3422826197681189
g0.2_e0.5,0.2,0.5,21,7,0.6514516133909585,0.6514516133909585,0.335633670947683
g0.2_e0.75,0.2,0.75,21,7,0.6507016220608073,0.6507016220608074,0.3361121511223857
g0.05_e0.75,0.05,0.75,21,7,0.6497032129386648,0.6497032129386648,0.34471588183143753
