dataset,seed,aug_f1_a,aug_f1_b,base_f1_a,gain_a,gain_b,delta
handmovementdirection,2,0.2571428571428571,0.2469093406593406,0.2030680813439434,0.054074775798913705,0.043841259315397174,0.01023351648351653
handmovementdirection,3,0.2517330397071109,0.326324469181612,0.1875628456510809,0.06417019405603003,0.13876162353053112,-0.07459142947450109
handwriting,1,0.4692893639142952,0.4822955299476751,0.382737297846506,0.0865520660677892,0.0995582321011691,-0.013006166033379896
handwriting,2,0.4788160889086109,0.4569835573835273,0.4136709560472157,0.06514513286139517,0.043312601336311596,0.021832531525083576
handwriting,3,0.4560640132267901,0.4538730181652988,0.4038917991696072,0.052172214057182864,0.04998121899569158,0.0021909950614912854
har,1,0.9508147535274212,0.9472064058572992,0.9355290262377642,0.015285727289656936,0.011677379619534967,0.0036083476701219697
har,2,0.9578174162272852,0.949041425776782,0.934283916923308,0.02353349930397719,0.014757508853473933,0.008775990450503257
har,3,0.9574753499928174,0.9550965142242974,0.9348718872533844,0.022603462739432922,0.020224626970912984,0.002378835768519938
heartbeat,1,0.6479175611850579,0.5875251509054326,0.6549286291408565,-0.007011067955798533,-0.06740347823542392,0.060392410279625386
heartbeat,2,0.6884776973272548,0.6731665440274712,0.6354209417494323,0.05305675557782252,0.037745602278038914,0.015311153299783609
heartbeat,3,0.6299257272539716,0.6229241118351903,0.6687314839752222,-0.03880575672125064,-0.04580737214003194,0.007001615418781304
japanesevowels,1,0.977748412110884,0.9866328147908892,0.9561456014766324,0.021602810634251624,0.030487213314256745,-0.008884402680005121
japanesevowels,2,0.9720074904623128,0.973509205873986,0.9741476029508114,-0.0021401124884985467,-0.0006383970768253366,-0.00150171541167321
japanesevowels,3,0.9858464973490269,0.9917695653737476,0.9681596726696928,0.017686824679334023,0.02360989270405478,-0.005923068024720757
libras,1,0.836057134011157,0.8821534724553216,0.8667137210615472,-0.030656587050390205,0.015439751393774404,-0.04609633844416461
libras,2,0.9338687882166142,0.9157896823340944,0.0190341332066207,0.9148346550099935,0.8967555491274737,0.01807910588251982
libras,3,0.8325523912480434,0.8611785905988806,0.7957431716788879,0.036809219569155505,0.06543541891999272,-0.02862619935083721
motorimagery,1,0.3710691823899371,0.4109868974636375,0.4025735294117647,-0.03150434702182764,0.00841336805187276,-0.0399177150737004
motorimagery,2,0.4832575444398512,0.4542271650705386,0.4091067083767813,0.07415083606306988,0.045120456693757305,0.029030379369312576
motorimagery,3,0.4916485112563544,0.5245969408846631,0.4967793880837359,-0.005130876827381503,0.027817552800927237,-0.03294842962830874
natops,1,0.966476799110864,0.9498025636352592,0.9373000436629222,0.02917675544794185,0.012502519972336978,0.01667423547560487
natops,2,0.96107248923737,0.9665552053092652,0.9070392331641024,0.05403325607326759,0.0595159721451628,-0.005482716071895211
natops,3,0.9550596329553824,0.9442145349933976,0.920588320022504,0.03447131293287842,0.023626214970893566,0.010845097961984851
pendigits,1,0.987749154904494,0.9891699494888886,0.9857407704625456,0.0020083844419483965,0.0034291790263429878,-0.0014207945843945913
pendigits,2,0.98091578172242,0.9859779845925498,0.9815965953307092,-0.0006808136082891991,0.004381389261840618,-0.005062202870129817
pendigits,3,0.9870611976712284,0.988240495939298,0.9817358708901702,0.005325326781058126,0.0065046250491277435,-0.0011792982680696174
racketsports,1,0.8836541979147613,0.8852757165720937,0.8656212251404092,0.01803297277435212,0.019654491431684518,-0.0016215186573323992
racketsports,2,0.88329945799458,0.8722502514351462,0.8588293650793651,0.024470092915214847,0.013420886355781092,0.011049206559433755
racketsports,3,0.8963906898179199,0.8963906898179199,0.8843719087962982,0.012018781021621683,0.012018781021621683,0.0
selfregulationscp2,1,0.5112206997721527,0.5388746566252045,0.3849097867687261,0.12631091300342656,0.1539648698564784,-0.02765395685305183
selfregulationscp2,2,0.4247773882287239,0.4606949806949807,0.4562610943290461,-0.031483706100322195,0.004433886365934614,-0.03591759246625681
selfregulationscp2,3,0.4554883318928263,0.4702438117661637,0.5110507470058032,-0.05556241511297694,-0.04080693523963952,-0.014755479873337418
uwavegesturelibrary,1,0.801652632549187,0.8289905918678611,0.7495563358211801,0.05209629672800686,0.07943425604668097,-0.02733795931867411
uwavegesturelibrary,2,0.7654762492258662,0.8301471095689215,0.7165712186127566,0.04890503061310958,0.11357589095616483,-0.06467086034305525
uwavegesturelibrary,3,0.8029484355125502,0.7973491426505493,0.6619287350644507,0.14101970044809953,0.13542040758609863,0.005599292862000893
