method,direction_source,mean_tangent_alignment,mean_normal_leakage,n_datasets,n_seeds,available_rate,actual_candidate_audit_available_rate,mean_selected_minus_random,mean_selected_minus_pca
csta_top1_current,pca_cov,0.2290418686870808,0.7709581313129192,7,21,0.9895287958115184,0.0,0.0981949422416996,0.0375805986104524
csta_top1_current,pia_selected,0.2296708722004887,0.7703291277995112,7,21,0.9895287958115184,0.0,0.0981949422416996,0.0375805986104524
csta_top1_current,random_cov,0.1402719322325452,0.8597280677674547,7,21,0.9895287958115184,0.0,0.0981949422416996,0.0375805986104524
csta_topk_uniform_top5,pca_cov,0.2290418686870808,0.7709581313129192,7,21,0.9895287958115184,1.0,0.0590703469162661,-0.0015439967149809
csta_topk_uniform_top5,pia_selected,0.213654273096916,0.786345726903084,7,21,0.9895287958115184,1.0,0.0590703469162661,-0.0015439967149809
csta_topk_uniform_top5,random_cov,0.1402719322325452,0.8597280677674547,7,21,0.9895287958115184,1.0,0.0590703469162661,-0.0015439967149809
pca_cov_state,pca_cov,0.2290418686870808,0.7709581313129192,7,21,0.9895287958115184,0.0,,
random_cov_state,random_cov,0.1402719322325452,0.8597280677674547,7,21,0.9895287958115184,0.0,,
