alignment_metric,performance_metric,n_pairs,pearson,spearman
selected_alignment_mean,csta_u5_gain_vs_no_aug,21,-0.0870901079787956,0.1597402597402597
selected_alignment_mean,csta_u5_delta_vs_random_cov_state,21,0.2827504479267816,0.1298701298701298
selected_alignment_mean,csta_u5_delta_vs_pca_cov_state,21,0.4757765129625751,0.2285714285714285
selected_minus_random_alignment,csta_u5_gain_vs_no_aug,21,-0.2510493280016499,0.0012987012987012
selected_minus_random_alignment,csta_u5_delta_vs_random_cov_state,21,-0.4204894150017634,-0.0909090909090909
selected_minus_random_alignment,csta_u5_delta_vs_pca_cov_state,21,-0.1750205526230384,-0.1454545454545454
selected_minus_pca_alignment,csta_u5_gain_vs_no_aug,21,-0.4104392119722043,0.0181818181818181
selected_minus_pca_alignment,csta_u5_delta_vs_random_cov_state,21,-0.2572603952389464,-0.1038961038961038
selected_minus_pca_alignment,csta_u5_delta_vs_pca_cov_state,21,-0.0564996785880757,0.0571428571428571
