method,display_name,family,mean_f1_over_datasets,mean_gain_vs_no_aug,delta_vs_csta_uniform_top5,pia_selected_tangent_alignment,random_cov_tangent_alignment,pca_cov_tangent_alignment,selected_minus_random_alignment,selected_minus_pca_alignment,top1_alignment_mean,top5_alignment_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,actual_candidate_audit_available
wdba_sameclass,wDBA,DTW synthesis,0.6679222249312299,0.0466855212696292,0.0026804204562593,,,,,,,,,,
csta_topk_uniform_top5,CSTA-PIA UniformTop5,CSTA/PIA,0.6652418044749704,0.0440051008133699,0.0,0.2644961625829782,0.20542581566671192,0.26604015929795916,0.059070346916266156,-0.0015439967149809817,0.3036207579084116,0.2705706525462077,2.9300130700428317,-0.006074489963229581,1.0
dba_sameclass,DBA,DTW synthesis,0.6633089519049827,0.0420722482433822,-0.0019328525699877,,,,,,,,,,
raw_aug_jitter,RawAug-Jitter,Raw-time,0.6616569891263591,0.0404202854647586,-0.0035848153486114,,,,,,,,,,
raw_aug_timewarp,RawAug-TimeWarp,Raw-time,0.6608610404012091,0.0396243367396085,-0.0043807640737614,,,,,,,,,,
spawner_sameclass_style,SPAWNER-style,DTW synthesis,0.6608128472973603,0.0395761436357597,-0.0044289571776102,,,,,,,,,,
raw_aug_window_slicing,Window Slicing,Raw-time,0.6592485456870067,0.0380118420254063,-0.0059932587879636,,,,,,,,,,
csta_top1_current,CSTA Top1,CSTA/PIA,0.6504671036133646,0.029230399951764,-0.0147747008616059,0.3036207579084116,0.20542581566671192,0.26604015929795916,0.0981949422416996,0.03758059861045245,0.3036207579084116,0.2705706525462077,2.83468324829932,0.03305010536220385,0.0
random_cov_state,Random Cov-State,Cov-state control,0.6481301127637586,0.0268934091021581,-0.0171116917112118,,0.20542581566671192,,,,0.3036207579084116,0.2705706525462077,,,0.0
pca_cov_state,PCA Cov-State,Cov-state control,0.6470301977697014,0.025793494108101,-0.018211606705269,,,0.26604015929795916,,,0.3036207579084116,0.2705706525462077,,,0.0
csta_fv_score_top5,CSTA FV-Score Top5,CSTA selector,0.6460455906714175,0.024808887009817,-0.0191962138035529,,,,,,,,,,
raw_aug_magnitude_warping,Magnitude Warping,Raw-time,0.6451996854142933,0.0239629817526928,-0.0200421190606771,,,,,,,,,,
dgw_sameclass,DGW,DTW guided warp,0.6446853371092731,0.0234486334476726,-0.0205564673656973,,,,,,,,,,
rgw_sameclass,RGW,DTW guided warp,0.6412343312647069,0.0199976276031062,-0.0240074732102637,,,,,,,,,,
csta_group_template_top,CSTA GroupTop,CSTA/PIA,0.640786282166905,0.0195495785053044,-0.0244555223080655,,,,,,,,,,
csta_random_feasible_selector,CSTA Random Feasible,CSTA selector,0.6405168366406871,0.0192801329790865,-0.0247249678342834,,,,,,,,,,
csta_fv_filter_top5,CSTA FV-Filter Top5,CSTA selector,0.6405168366406871,0.0192801329790865,-0.0247249678342834,,,,,,,,,,
jobda_cleanroom,JobDA-cleanroom,Supervised raw aug,0.6386555576078622,0.0174188539462617,-0.0265862468671083,,,,,,,,,,
raw_aug_window_warping,Window Warping,Raw-time,0.6300960695469777,0.0088593658853771,-0.0351457349279928,,,,,,,,,,
raw_aug_scaling,RawAug-Scaling,Raw-time,0.6274711300259364,0.0062344263643358,-0.0377706744490341,,,,,,,,,,
raw_smote_flatten_balanced,Raw-SMOTE,Flattened raw,0.6228572366008869,0.0016205329392864,-0.0423845678740836,,,,,,,,,,
raw_mixup,Raw-Mixup,Vicinal raw,0.6215713496243737,0.0003346459627732,-0.0436704548505967,,,,,,,,,,
no_aug,No Aug,Control,0.6212367036616004,0.0,-0.04400510081337,,,,,,,,,,
