dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,mixup_alpha,manifold_mixup_alpha
articularywordrecognition,1,manifold_mixup,success,,0.9730638636725591,0.9490172436259392,-0.02404662004662,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,1.0815024110488594,,0.4
articularywordrecognition,2,manifold_mixup,success,,0.952954070084505,0.9765968582142496,0.0236427881297445,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.984,30,0,0,1.0362545910757035,,0.4
articularywordrecognition,3,manifold_mixup,success,,0.9633028826246216,0.9661613632744068,0.002858480649785,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,29,0,0,1.0077211720636114,,0.4
articularywordrecognition,1,raw_mixup,success,,0.9730638636725591,0.9663288537549408,-0.0067350099176185,2200,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,15,0,0,2.5498946289299056,0.4,
articularywordrecognition,2,raw_mixup,success,,0.952954070084505,0.929204783622175,-0.0237492864623299,2200,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.9662857142857144,11,0,0,1.8439190540229904,0.4,
articularywordrecognition,3,raw_mixup,success,,0.9633028826246216,0.959293564406608,-0.0040093182180137,2200,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,4.982383997994475,0.4,
atrialfibrillation,1,manifold_mixup,success,,0.2164502164502164,0.1068376068376068,-0.1096126096126096,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.5555555555555555,30,0,0,0.5088152850512415,,0.4
atrialfibrillation,2,manifold_mixup,success,,0.3205128205128205,0.2034632034632034,-0.117049617049617,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.5555555555555555,30,0,0,0.4481327180983498,,0.4
atrialfibrillation,3,manifold_mixup,success,,0.1666666666666666,0.3722943722943723,0.2056277056277056,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,20,0,0,0.2747944230213761,,0.4
atrialfibrillation,1,raw_mixup,success,,0.2164502164502164,0.1555555555555555,-0.0608946608946608,120,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.5555555555555555,30,0,0,0.8008062900044024,0.4,
atrialfibrillation,2,raw_mixup,success,,0.3205128205128205,0.1574074074074074,-0.1631054131054131,120,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.5555555555555555,30,0,0,0.7077345470897853,0.4,
atrialfibrillation,3,raw_mixup,success,,0.1666666666666666,0.1253561253561253,-0.0413105413105412,120,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.5555555555555555,30,0,0,0.7330384269589558,0.4,
basicmotions,1,manifold_mixup,success,,1.0,1.0,0.0,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.4888223790330812,,0.4
basicmotions,2,manifold_mixup,success,,1.0,1.0,0.0,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.4424939879681915,,0.4
basicmotions,3,manifold_mixup,success,,1.0,1.0,0.0,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.441354715032503,,0.4
basicmotions,1,raw_mixup,success,,1.0,1.0,0.0,320,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,1.0446036690846086,0.4,
basicmotions,2,raw_mixup,success,,1.0,1.0,0.0,320,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,1.0071686590090394,0.4,
basicmotions,3,raw_mixup,success,,1.0,1.0,0.0,320,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,0.9840241390047596,0.4,
cricket,1,manifold_mixup,success,,0.9860139860139862,0.972027972027972,-0.013986013986014,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,1.6555921600665895,,0.4
cricket,2,manifold_mixup,success,,1.0,0.852234448557978,-0.1477655514420219,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.9555555555555556,14,0,0,0.7542449720203876,,0.4
cricket,3,manifold_mixup,success,,0.986013986013986,0.9721250971250972,-0.0138888888888888,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,1.6464919259306043,,0.4
cricket,1,raw_mixup,success,,0.9860139860139862,0.9860139860139862,0.0,860,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,7.785840669996105,0.4,
cricket,2,raw_mixup,success,,1.0,0.9860139860139862,-0.0139860139860138,860,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,7.762560416013002,0.4,
cricket,3,raw_mixup,success,,0.986013986013986,0.9721250971250972,-0.0138888888888886,860,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,7.782171346014365,0.4,
epilepsy,1,manifold_mixup,success,,0.9717806041335452,0.9709217843885812,-0.0008588197449639,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.6320753280306235,,0.4
epilepsy,2,manifold_mixup,success,,0.9709217843885812,0.9859126984126984,0.0149909140241171,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.6418612169800326,,0.4
epilepsy,3,manifold_mixup,success,,0.9326363277133825,0.9718253968253968,0.0391890691120143,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.6453093900345266,,0.4
epilepsy,1,raw_mixup,success,,0.9717806041335452,0.9851240406335452,0.0133434364999998,1090,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,2.573126695002429,0.4,
epilepsy,2,raw_mixup,success,,0.9709217843885812,0.9787212787212788,0.0077994943326973,1090,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,2.590096832020208,0.4,
epilepsy,3,raw_mixup,success,,0.9326363277133825,0.9929353233830844,0.060298995669702,1090,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,2.591888625058345,0.4,
ering,1,manifold_mixup,success,,0.5424850558740912,0.803515862195141,0.2610308063210498,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.7777777777777777,30,0,0,0.4446822829777375,,0.4
ering,2,manifold_mixup,success,,0.848105426301868,0.8696536652760706,0.0215482389742025,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,30,0,0,0.4399047100450843,,0.4
ering,3,manifold_mixup,success,,0.8501737413578302,0.8666816985752623,0.0165079572174321,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,1.0,29,0,0,0.4078437930438667,,0.4
ering,1,raw_mixup,success,,0.5424850558740912,0.8101994220407737,0.2677143661666824,240,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.7777777777777778,16,0,0,0.4946867329999804,0.4,
ering,2,raw_mixup,success,,0.848105426301868,0.8619466011209428,0.0138411748190747,240,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,1.0,30,0,0,0.8414628349710256,0.4,
ering,3,raw_mixup,success,,0.8501737413578302,0.784509032090401,-0.0656647092674291,240,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.7777777777777777,19,0,0,0.5238222050247714,0.4,
ethanolconcentration,1,manifold_mixup,success,,0.25302243628668,0.2402342018526438,-0.0127882344340361,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.4778325123152709,30,0,0,5.459062112960964,,0.4
ethanolconcentration,2,manifold_mixup,success,,0.2957462456440558,0.2729490733369306,-0.0227971723071251,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.3654745989304813,24,0,0,4.387969498988241,,0.4
ethanolconcentration,3,manifold_mixup,success,,0.2886924033855482,0.3166936005171299,0.0280011971315816,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.3556989247311828,28,0,0,5.1039299860131,,0.4
ethanolconcentration,1,raw_mixup,success,,0.25302243628668,0.2616447825224421,0.0086223462357621,2080,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.4114245610409293,28,0,0,26.76739928708412,0.4,
ethanolconcentration,2,raw_mixup,success,,0.2957462456440558,0.2842016141358726,-0.0115446315081832,2080,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.4251157407407407,24,0,0,23.00202780601103,0.4,
ethanolconcentration,3,raw_mixup,success,,0.2886924033855482,0.2692092575482594,-0.0194831458372888,2080,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.4159544159544159,17,0,0,16.383375074947253,0.4,
fingermovements,1,manifold_mixup,success,,0.4591346153846154,0.4285714285714286,-0.0305631868131868,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.6711524345485687,30,0,0,1.100817465921864,,0.4
fingermovements,2,manifold_mixup,success,,0.537037037037037,0.565936337329475,0.028899300292438,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.6437246963562753,20,0,0,0.7336969550233334,,0.4
fingermovements,3,manifold_mixup,success,,0.4456893501592169,0.567882624861823,0.122193274702606,0,0.0,0.0,hidden_state,soft,resnet1d,True,False,none,False,resnet1d_hidden_state_beta_mixup,0.6216748768472906,16,0,0,0.5967928030295298,,0.4
fingermovements,1,raw_mixup,success,,0.4591346153846154,0.5798319327731092,0.1206973173884937,2520,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.6871945259042034,25,0,0,5.0479468810372055,0.4,
fingermovements,2,raw_mixup,success,,0.537037037037037,0.5512035903712771,0.0141665533342401,2520,10.0,10.0,raw_mixup,soft,resnet1d,True,False,none,True,train_split_random_pair_beta,0.6940880503144654,14,0,0,2.838571407017298,0.4,
