Backbone,Datasets,N_Pairs,Mean_Delta,W/T/L,Win_Rate
ResNet1D,20,60,0.0413158958447876,39/7/14,65.0%
ModernTCN,20,60,0.06964722345279238,46/2/12,76.7%
MiniRocket,18,54,0.009961767331247918,25/14/15,46.3%
