dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,method_arm
handmovementdirection,1,success,lraes,resnet1d,act,0.2384428967090257,0.3116032617576886,0.0731603650486629,30.68253882832265,21,16,0.5395413410119293,0.3771708683473389,0.0002854785889097,1.1123947268364201e-07,1.0797869961419206,0.1409334642557883,0.9999999999899998,0.9899009169526736,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
handmovementdirection,2,success,lraes,resnet1d,act,0.2030680813439434,0.2151960795570671,0.0121279982131236,5.972377421641497,17,14,0.3214285714285714,0.4020833333333333,0.0002854143150095,1.1118607899218129e-07,1.0801284155541608,0.1424327015790346,0.9999999999899998,0.987985101412486,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
handmovementdirection,3,success,lraes,resnet1d,act,0.1875628456510809,0.2692746795687972,0.0817118339177163,43.56501953734666,15,11,0.3456896551724138,0.2908818869917268,0.0002854818527532,1.1148450280529921e-07,1.080704182885792,0.1439230347379046,0.9999999999899998,1.0034452843727362,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
handwriting,1,success,lraes,resnet1d,act,0.382737297846506,0.4890549085306126,0.1063176106841066,27.778213282085517,30,24,0.3055555555555555,0.4083333333333332,0.0001567770444383,0.000323380345545,1.0771793168154509,0.1136464335299157,0.8510652869390083,0.2429830989517447,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
handwriting,2,success,lraes,resnet1d,act,0.4136709560472157,0.4500794509566045,0.0364084949093888,8.801315532511719,30,25,0.3402777777777777,0.4453333333333333,0.0001568630281252,0.0003198334671541,1.080991945671207,0.118447889621944,0.8748595264751858,0.2591882417685239,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
handwriting,3,success,lraes,resnet1d,act,0.4038917991696072,0.452620266399274,0.0487284672296668,12.064730025497289,30,30,0.3305555555555555,0.3472222222222221,0.0001569930394236,0.0003246978711,1.082467665270982,0.1189869269049865,0.8676174641091425,0.2621793509247431,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
natops,1,success,lraes,resnet1d,act,0.9373000436629222,0.9724533751418614,0.0351533314789391,3.7504882205140513,18,26,0.972027972027972,0.972027972027972,0.0004448759709264,2.911549940712284,1.2627275126615047,0.394642055364754,0.9999999999899996,5.820767164174551,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
natops,2,success,lraes,resnet1d,act,0.9070392331641024,0.9482481517197042,0.0412089185556018,4.543233909366339,27,24,1.0,0.972027972027972,0.0004454878403748,2.914830883666352,1.2851843947366124,0.41787096177157,0.9999999999899996,5.7362806886113855,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
natops,3,success,lraes,resnet1d,act,0.920588320022504,0.9720196861835824,0.0514313661610784,5.586792647231128,30,30,0.945887445887446,0.972027972027972,0.0004454366774178,2.921524410331778,1.280365046430122,0.4144258136691465,0.9999999999899996,5.643837013582446,0.0,0.0,1440,1440,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
racketsports,1,success,lraes,resnet1d,act,0.8656212251404092,0.9024676850763808,0.0368464599359715,4.256648821584294,30,13,0.9409722222222222,0.9388888888888888,0.0002215852368071,0.0001210834000515,1.0985860062207031,0.1540442731028775,0.9999999999899998,2.143864856002683,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
racketsports,2,success,lraes,resnet1d,act,0.8588293650793651,0.877184664584263,0.0183552995048978,2.137246129905623,30,30,0.9701754385964912,1.0,0.0002213658964414,0.0001339418901563,1.089426727869403,0.1500309699644312,0.9999999999899998,2.1693166631450227,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
racketsports,3,success,lraes,resnet1d,act,0.8843719087962982,0.90958605664488,0.0252141478485818,2.851079364542574,30,30,0.9705882352941176,0.9409722222222222,0.0002216849239123,0.0001229815749697,1.099736676237158,0.157790173003264,0.9999999999899998,2.1508125271014964,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
japanesevowels,1,success,lraes,resnet1d,act,0.9561456014766324,0.9861882194176508,0.0300426179410183,3.142054385081874,30,22,0.9452769452769452,0.9813519813519817,0.0003154538529053,2.4619023366296977,1.2061291573432298,0.3211024787609443,0.9999999999899998,5.394679395933378,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
japanesevowels,2,success,lraes,resnet1d,act,0.9741476029508114,0.9766492757096416,0.0025016727588302,0.2568063088638834,30,30,1.0,1.0,0.0003152477213373,2.443551329305792,1.1995546736711482,0.314447121406125,0.9999999999899998,5.356552201176861,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
japanesevowels,3,success,lraes,resnet1d,act,0.9681596726696928,0.9497334846322174,-0.0184261880374755,-1.9032176875791345,30,14,1.0,1.0,0.0003155248852621,2.4440589857081,1.20741648655507,0.3223983916885969,0.9999999999899998,5.378469108461614,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
atrialfibrillation,1,success,lraes,resnet1d,act,0.2164502164502164,0.1111111111111111,-0.1053391053391053,-48.666644182677054,30,30,0.5555555555555555,0.5555555555555555,0.0001288819451861,0.0271087843937916,1.0763069404685388,0.130249639846003,0.9999999999899996,1.0436398830928968,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,csta_top1_repeated
atrialfibrillation,2,success,lraes,resnet1d,act,0.3205128205128205,0.0888888888888888,-0.2316239316239316,-72.2666441194737,28,30,0.5555555555555555,1.0,0.0001287053962392,0.033228954150045,1.0796309312426795,0.1297459956360862,0.9999999999899996,1.0337744315478616,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,csta_top1_repeated
atrialfibrillation,3,success,lraes,resnet1d,act,0.1666666666666666,0.3722943722943723,0.2056277056277056,123.37654935069378,30,15,0.5555555555555555,1.0,0.0001282276872027,0.0322988146580335,1.082673901207576,0.1305173008278337,0.9999999999899996,0.8437962467856867,0.0,0.0,120,120,10,9,0.0,0.0,0.0,lraes,csta_top1_repeated
ering,1,success,lraes,resnet1d,act,0.5424850558740912,0.7482776939548317,0.2057926380807404,37.93516483398564,24,27,0.7777777777777777,0.7777777777777777,0.0001810821785697,0.0013159502580419,1.0964805386959982,0.1423197953122925,0.9999999999899996,1.0850636769840405,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
ering,2,success,lraes,resnet1d,act,0.848105426301868,0.8527268523691948,0.0046214260673267,0.544911679502702,30,30,0.7777777777777778,1.0,0.0001813629703142,0.0013024866312902,1.1004069360069526,0.146544687360938,0.9999999999899996,1.048420083095513,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
ering,3,success,lraes,resnet1d,act,0.8501737413578302,0.8145848703403771,-0.0355888710174531,-4.186069870206004,30,16,0.7777777777777778,1.0,0.0001812217020357,0.0013515179227018,1.1003467919603476,0.1448231374207629,0.9999999999899996,1.0999095086492523,0.0,0.0,240,240,10,10,0.0,0.0,0.0,lraes,csta_top1_repeated
handmovementdirection,1,success,lraes,resnet1d,act,0.2384428967090257,0.2633397932816537,0.024896896572628,10.441445928902631,21,14,0.5395413410119293,0.4343137254901961,0.0002852235989504,1.1122998757950332e-07,1.0795421470578677,0.1404852999763943,0.9999999999899998,0.9899009169526736,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,csta_random1
handmovementdirection,2,success,lraes,resnet1d,act,0.2030680813439434,0.2276979998879986,0.0246299185440551,12.128891085274788,17,15,0.3214285714285714,0.4653846153846154,0.000285413645654,1.1120084626596788e-07,1.0803247359928922,0.1426492519972566,0.9999999999899998,0.987985101412486,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,csta_random1
handmovementdirection,3,success,lraes,resnet1d,act,0.1875628456510809,0.3931146138807428,0.2055517682296619,109.59081897340492,15,30,0.3456896551724138,0.344485294117647,0.0002852914166644,1.1147864930970557e-07,1.0789962703199891,0.1423332874092529,0.9999999999899998,1.0034452843727362,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes,csta_random1
handwriting,1,success,lraes,resnet1d,act,0.382737297846506,0.3971462556842979,0.0144089578377918,3.7647112403608114,30,13,0.3055555555555555,0.4375,0.0001568457451734,0.0003232525938395,1.0777420580348689,0.1142949768603957,0.8510652875068,0.2429830989517447,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes,csta_random1
