dataset,seed,method,n_train,z_dim,n_classes,tangent_available_rate,insufficient_neighbor_count,fallback_count,selected_alignment_mean,selected_alignment_std,random_alignment_mean,random_alignment_std,pca_alignment_mean,pca_alignment_std,selected_minus_random_alignment,selected_minus_pca_alignment,selected_normal_leakage_mean,random_normal_leakage_mean,pca_normal_leakage_mean,actual_candidate_audit_available,audit_source,top1_alignment_mean,top5_alignment_mean,top5_alignment_std_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,top5_response_mean,top5_response_std_mean,k_neighbors,tangent_dim_policy,explained_var_threshold,max_tangent_dim
natops,1,csta_top1_current,144,300,6,1.0,0,0,0.04954536886345222,0.03866747115518094,0.013433337430081179,0.008936432453784723,0.09082662148973489,0.06624181167709332,0.036112031433371036,-0.04128125262628267,0.9504546311365478,0.9865666625699188,0.909173378510265,False,policy_replay,0.049545368863452226,0.05749348773018452,0.03645658042419738,3.25,-0.007948118866732294,2.551039279044512,0.6378608110027777,5,auto,0.9,10
natops,1,csta_topk_uniform_top5,144,300,6,1.0,0,0,0.05659965605567707,0.04589976791317427,0.013433337430081179,0.008936432453784723,0.09082662148973489,0.06624181167709332,0.04316631862559589,-0.034226965434057816,0.9434003439443229,0.9865666625699188,0.909173378510265,True,actual_candidate_audit,0.049545368863452226,0.05749348773018452,0.03645658042419738,3.0208333333333335,-0.0008938316745074454,2.551039279044512,0.6378608110027777,5,auto,0.9,10
natops,1,pca_cov_state,144,300,6,1.0,0,0,,,,,0.09082662148973489,0.06624181167709332,,,,,0.909173378510265,False,policy_replay,0.04954536886345222,0.05749348773018452,0.036456580424197374,,,2.551039279044512,0.6378608110027777,5,auto,0.9,10
natops,1,random_cov_state,144,300,6,1.0,0,0,,,0.013433337430081179,0.008936432453784723,,,,,,0.9865666625699188,,False,policy_replay,0.04954536886345222,0.05749348773018452,0.036456580424197374,,,2.551039279044512,0.6378608110027777,5,auto,0.9,10
