dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,aug_valid_rate,candidate_audit_rows,candidate_audit_available,candidate_accept_rate,candidate_physics_ok,candidate_audit_path,z_displacement_norm_mean,template_response_abs_mean,template_response_top1_mean,template_response_top5_mean,template_response_gap_top1_top5_mean,template_response_entropy_mean,pre_safe_displacement_norm_mean,post_safe_displacement_norm_mean,gamma_used_ratio_mean,gamma_requested_mean_audit,gamma_used_mean_audit,safe_radius_ratio_mean_audit,safe_clip_rate_audit,gamma_zero_rate_audit,manifold_margin_mean_audit,transport_error_logeuc_mean_audit,template_response_top1_mean_audit,template_response_top5_mean_audit,template_response_gap_top1_top5_mean_audit,template_response_entropy_mean_audit,selected_template_response_abs_mean_audit,gamma_used_ratio_mean_audit,pre_safe_displacement_norm_mean_audit,post_safe_displacement_norm_mean_audit,template_usage_entropy_audit,top_template_concentration_audit,selection_stage,selector_name,feasible_rate,selector_accept_rate,pre_filter_reject_count,post_bridge_reject_count,reject_reason_zero_gamma,reject_reason_safe_radius,reject_reason_zero_direction,reject_reason_zero_margin,reject_reason_bridge_fail,reject_reason_transport_error,relevance_score_mean,safe_balance_score_mean,fidelity_score_mean,variety_score_mean,fv_score_mean,feasible_rate_audit,selector_accept_rate_audit,relevance_score_mean_audit,safe_balance_score_mean_audit,fidelity_score_mean_audit,variety_score_mean_audit,fv_score_mean_audit,gamma_used_gt_requested_count,safe_radius_ratio_out_of_bounds_count,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,ag_target_norm_mean_audit,ag_pred_norm_mean_audit,ag_pred_target_cosine_mean_audit,ag_tangent_available_rate_audit,ag_fallback_rate_audit,selected_template_entropy,pca_n_components,pca_explained_variance_ratio_sum,direction_source,operator_source,ag_target_effective_rank,ag_target_pairwise_cosine_mean,ag_target_norm_mean,ag_target_norm_std,ag_head_pairwise_cosine_mean,ag_head_effective_rank,ag_head_usage_entropy,ag_operator_train_mse_mean,ag_operator_train_cosine_mean,ag_pred_target_cosine_mean,ag_tangent_available_rate,ag_fallback_rate,ag_pos_dist_mean,ag_neg_centroid_dist_mean,ag_pred_norm_mean,ag_hidden_dim,ag_ridge,ag_activation,effective_k_ag_heads,wdba_k,wdba_max_iter,wdba_tau,dba_k,dba_max_iter
natops,1,csta_topk_uniform_top5,success,,0.9373000436629222,0.966476799110864,0.02917675544794185,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.972027972027972,30,0,0,9.45232629403472,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004486332146048,2.9115049204579395,1.4018361419529,0.5480701959539224,0.0240977847172584,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,10.0,0.0,2.160811559321453,0.1875,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ag_pia_pilot3_lambda0_v1/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/natops/s1/candidate_audit/natops_s1_csta_topk_uniform_top5_candidate_audit.csv.gz,0.0999999999718539,2.495324999413,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,0.0999999999718539,0.1000000014901161,1.0,0.1,0.1,0.0240977847172584,0.0,0.0,5.82076716417455,2.9115049204579395,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,2.495324999413,1.0,0.0999999999718539,0.1000000014901161,2.160811559321453,0.1875,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7413955341463061,0.757840911898841,0.0115851800505578,,,,0.0,0.0,2.160811559321453,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,csta_template_random_within_bank,success,,0.9373000436629222,0.9548052577010072,0.017505214038085026,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,csta_bank_random,0.972027972027972,30,0,0,9.192933102953248,random_within_bank,single_anchor,,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.000449141298835,2.9115067587526373,1.415505156087843,0.5650138193609437,0.02409778473141,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,10.0,0.0,2.263234759614498,0.1319444444444444,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ag_pia_pilot3_lambda0_v1/resnet1d_s123/_csta_runs/csta_template_random_within_bank/natops/s1/candidate_audit/natops_s1_csta_template_random_within_bank_candidate_audit.csv.gz,0.100000000024544,1.8728027303853247,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,0.100000000024544,0.1000000014901161,1.0,0.1,0.1,0.02409778473141,0.0,0.0,5.82076716417455,2.9115067587526373,3.457333159936591,2.551039279044512,0.906293880892079,2.1059732168111034,1.8728027303853247,1.0,0.100000000024544,0.1000000014901161,2.263234759614498,0.1319444444444444,response_only,random,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,random,300.0,144.0,True,1.0,1.0,1.0,0.0,0.7413955341463061,0.757840911898841,0.0115851800505578,,,,0.0,0.0,2.263234759614498,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,random_cov_state,success,,0.9373000436629222,0.9498025636352591,0.012502519972336867,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.972027972027972,30,0,0,4.425155799952336,,,,,,,,,,2.911407129727777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,pca_cov_state,success,,0.9373000436629222,0.972152603731551,0.0348525600686288,1440,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.972027972027972,28,0,0,4.2189577230019495,,,,,,,,,,2.9117163033934617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,0.7684680223464966,,,,,,,,,,,,,,,,,,,,,,,,,,
natops,1,ag_target_direct,success,,0.9373000436629222,0.96089209818718,0.023592054524257833,1440,10.0,10.0,covariance_state_operator,hard,resnet1d,True,False,none,True,ag_target_direct_debug,0.972027972027972,27,0,0,8.461242596968077,ag_target_direct,anchor_conditioned_operator,,,AG-PIA,augmentation_field_generalized_inverse,local_margin_safe_step,whitening_coloring,0.0004425210799149,2.917083262500943,1.161515451950509,0.2807302318318634,0.0240977847254931,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ag_pia_pilot3_lambda0_v1/resnet1d_s123/_csta_runs/ag_target_direct/natops/s1/candidate_audit/natops_s1_ag_target_direct_candidate_audit.csv.gz,0.1,,,,,,,,,0.1,0.1,0.0240977847254931,0.0,0.0,5.82076716417455,2.917083262500943,,,,,,1.0,0.1,0.1000000014901161,,,ag_pia_operator,ag_target_direct,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,ag_pia_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,3.8064668080755673,1.0,1.0,1.0,0.0,0.0,,,ag_pia_operator,ag_target_direct,63.22337121066572,-0.0003522324403356,3.806466808075568,0.7768860820569123,,0.0,-1.000088900581841e-12,0.0,1.0,1.0,1.0,0.0,5.329751839800419,4.876875505743706,1.0,0.0,0.001,direct_target,1.0,,,,,
natops,1,ag_pia_single,success,,0.9373000436629222,0.9718951883498628,0.03459514468694058,1440,10.0,10.0,covariance_state_operator,hard,resnet1d,True,False,none,True,ag_pia_single_operator,0.972027972027972,30,0,0,8.885671664960682,ag_pia_single,anchor_conditioned_operator,,,AG-PIA,augmentation_field_generalized_inverse,local_margin_safe_step,whitening_coloring,0.0004425207519777,2.917081029030171,1.1615139669969072,0.2807269385450039,0.0240977847254931,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,1.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ag_pia_pilot3_lambda0_v1/resnet1d_s123/_csta_runs/ag_pia_single/natops/s1/candidate_audit/natops_s1_ag_pia_single_candidate_audit.csv.gz,0.1,,,,,,,,,0.1,0.1,0.0240977847254931,0.0,0.0,5.82076716417455,2.917081029030171,,,,,,1.0,0.1,0.1000000014901161,,,ag_pia_operator,ag_pia_single,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,ag_pia_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,3.8064668080755673,1.0,0.9999999809563216,1.0,0.0,0.0,,,ag_pia_operator,ag_pia_single,63.22337121066572,-0.0003522324403356,3.806466808075568,0.7768860820569123,,0.0,-1.000088900581841e-12,1.2695785685718987e-10,0.9999999809563216,0.9999999809563216,1.0,0.0,5.329751839800419,4.876875505743706,1.0,600.0,0.001,tanh,1.0,,,,,
natops,1,ag_pia_multihead5,success,,0.9373000436629222,0.972152603731551,0.0348525600686288,1440,10.0,10.0,covariance_state_operator,hard,resnet1d,True,False,none,True,ag_pia_multihead_uniform,0.972027972027972,30,0,0,8.921581167029217,ag_pia_multihead5,anchor_conditioned_operator,,,AG-PIA,augmentation_field_generalized_inverse,local_margin_safe_step,whitening_coloring,0.0004428534253115,2.918094140303485,1.1833349813498182,0.3039505014315587,0.0240977847254931,5.82076716417455,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,5.0,0.0,0.0,0.0,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ag_pia_pilot3_lambda0_v1/resnet1d_s123/_csta_runs/ag_pia_multihead5/natops/s1/candidate_audit/natops_s1_ag_pia_multihead5_candidate_audit.csv.gz,0.1,,,,,,,,,0.1,0.1,0.0240977847254931,0.0,0.0,5.82076716417455,2.918094140303485,,,,,,1.0,0.1,0.100000001464246,,,ag_pia_operator,ag_pia_multihead5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,ag_pia_operator,core_concat,concat_all,10.0,,none,,,,,,,,,,,4.44502617235431,1.0,0.9999999829460726,1.0,0.0,0.0,,,ag_pia_operator,ag_pia_multihead5,78.03710663398978,0.0020838853118022,4.443853870141533,0.7944553047751395,0.2353318941520874,3.958136649763786,1.6081763594609952,1.1516833487342587e-10,0.9999999827247498,0.9999999829460726,1.0,0.0,5.810768486927175,4.876875505743705,1.0,600.0,0.001,tanh,5.0,,,,,
natops,1,wdba_sameclass,success,,0.9373000436629222,0.9604306383507204,0.02313059468779821,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_weighted_dba_anchor_dtw_softmax,0.972027972027972,29,0,0,13.424396947026253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0,11.578942162904728,,
natops,1,dba_sameclass,success,,0.9373000436629222,0.9555432064462351,0.01824316278331295,1440,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.972027972027972,20,0,0,5.138498377986252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,5.0
natops,2,csta_topk_uniform_top5,success,,0.9070392331641024,0.96107248923737,0.05403325607326759,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,14,0,0,7.414386713993736,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004493863662795,2.914843103501098,1.4253124776353003,0.5750430026591705,0.0244874409180124,5.7362806886113855,0.1,0.1,0.0,0.0,0.0,1440.0,1440.0,10.0,10.0,0.0,2.1789852033783856,0.1944444444444444,1.0,1440.0,True,1.0,True,/home/THL/project/MTS-PIA/standalone_projects/ACT_ManifoldBridge/results/csta_ag_pia_pilot3_lambda0_v1/resnet1d_s123/_csta_runs/csta_topk_uniform_top5/natops/s2/candidate_audit/natops_s2_csta_topk_uniform_top5_candidate_audit.csv.gz,0.1000000000006996,2.437604747019312,3.016857740438076,2.446985785724095,0.5698719547139806,2.1699453887774984,0.1000000000006996,0.1000000014901161,1.0,0.1,0.1,0.0244874409180124,0.0,0.0,5.7362806886113855,2.914843103501098,3.016857740438076,2.446985785724095,0.5698719547139806,2.1699453887774984,2.437604747019312,1.0,0.1000000000006996,0.1000000014901161,2.1789852033783856,0.1944444444444444,response_only,topk_uniform_top5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,1.0,,,,,,0.0,0.0,zpia_top1_pool,core_concat,concat_all,10.0,1.0,topk_uniform_top5,300.0,144.0,True,1.0,1.0,1.0,0.0,0.753430123513149,0.7592133258157752,0.0107950116523461,,,,0.0,0.0,2.1789852033783856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
