dataset,best_phase2_baseline,best_phase2_overall_mean_f1,best_phase2_f1,csta_top1_current,csta_group_template_top,best_phase2_minus_csta_top1,best_phase2_minus_csta_group
atrialfibrillation,wdba_sameclass,0.3112763779430446,0.3112763779430446,0.17670847670847667,0.1291033585151232,0.1345679012345679,0.18217301942792138
ering,wdba_sameclass,0.3112763779430446,,0.837231988455564,0.7834727436167497,,
handmovementdirection,wdba_sameclass,0.3112763779430446,,0.2754524178509126,0.2688544678780615,,
handwriting,wdba_sameclass,0.3112763779430446,,0.46049183816916345,0.476070456900701,,
japanesevowels,wdba_sameclass,0.3112763779430446,,0.97049413005379,0.9698710284725901,,
natops,wdba_sameclass,0.3112763779430446,,0.9607853534384795,0.9659304125637961,,
racketsports,wdba_sameclass,0.3112763779430446,,0.8721055206171656,0.8922015072213133,,
