dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,dba_k,dba_max_iter
articularywordrecognition,1,random_cov_state,success,,0.9730638636725593,0.9601341846559237,-0.012929679016635554,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9840000000000001,11,0,0,3.818457254092209,0.0271130358888424,,,,
articularywordrecognition,1,pca_cov_state,success,,0.9730638636725593,0.9601775930993321,-0.01288627057322711,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.9840000000000001,11,0,0,3.219396944041364,0.027107405446170876,10.0,0.6842184066772461,,
articularywordrecognition,1,dba_sameclass,success,,0.9730638636725593,0.9763753463927377,0.003311482720178449,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9786666666666668,30,0,0,26.36023923603352,,,,5.0,5.0
articularywordrecognition,1,raw_aug_jitter,success,,0.9730638636725593,0.9631979325022804,-0.009865931170278897,2200,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.9840000000000001,11,0,0,1.8361281029647216,,,,,
articularywordrecognition,2,random_cov_state,success,,0.952954070084505,0.9735389074693421,0.020584837384837185,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9436190476190476,11,0,0,2.780455892905593,0.0258814723307986,,,,
articularywordrecognition,2,pca_cov_state,success,,0.952954070084505,0.9795971970058927,0.026643126921387705,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.944952380952381,30,0,0,5.8227202841080725,0.025882129571448934,10.0,0.6817032694816589,,
articularywordrecognition,2,dba_sameclass,success,,0.952954070084505,0.9732519306780176,0.020297860593512684,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9626666666666667,17,0,0,22.638889785972424,,,,5.0,5.0
articularywordrecognition,2,raw_aug_jitter,success,,0.952954070084505,0.9664810320114668,0.0135269619269619,2200,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.944952380952381,12,0,0,2.066066210041754,,,,,
articularywordrecognition,3,random_cov_state,success,,0.9633028826246217,0.9625794340924776,-0.000723448532144122,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9840000000000001,12,0,0,3.107272509019822,0.026202933975999664,,,,
articularywordrecognition,3,pca_cov_state,success,,0.9633028826246217,0.9664571003875352,0.0031542177629134693,2200,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,12,0,0,3.663672443944961,0.026203935012643016,10.0,0.6834048628807068,,
articularywordrecognition,3,dba_sameclass,success,,0.9633028826246217,0.9665202739289697,0.0032173913043479496,2200,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,24.53352600708604,,,,5.0,5.0
articularywordrecognition,3,raw_aug_jitter,success,,0.9633028826246217,0.9656700323830759,0.002367149758454201,2200,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,12,0,0,2.0639453449985012,,,,,
epilepsy,1,random_cov_state,success,,0.9717806041335453,0.9709217843885813,-0.0008588197449639345,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,3.1524219759739935,0.004106137398567227,,,,
epilepsy,1,pca_cov_state,success,,0.9717806041335453,0.978856462179869,0.007075858046323713,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,3.1885031790006906,0.004103671796340516,6.0,1.0,,
epilepsy,1,dba_sameclass,success,,0.9717806041335453,0.9788059701492537,0.007025366015708467,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,15.67137412703596,,,,5.0,5.0
epilepsy,1,raw_aug_jitter,success,,0.9717806041335453,0.9248558789954338,-0.04692472513811152,1090,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,17,0,0,1.7181656999746338,,,,,
epilepsy,2,random_cov_state,success,,0.9709217843885813,0.9779508527367593,0.007029068348177958,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,1.0,30,0,0,3.6288779290625826,0.0037003697741202876,,,,
epilepsy,2,pca_cov_state,success,,0.9709217843885813,0.9788059701492537,0.007884185760672402,1090,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,1.0,30,0,0,3.473435328924097,0.0037001433762186785,6.0,1.0000001192092896,,
epilepsy,2,dba_sameclass,success,,0.9709217843885813,0.9787212787212787,0.007799494332697332,1090,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,1.0,30,0,0,15.97969914204441,,,,5.0,5.0
epilepsy,2,raw_aug_jitter,success,,0.9709217843885813,0.9646766169154228,-0.006245167473158508,1090,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,1.0,30,0,0,3.1280820498941466,,,,,
