dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
epilepsy,pca_cov_state,1.0,0.0,0.0,0.0,,1090.0,10.0,3
epilepsy,random_cov_state,1.0,0.0,0.0,0.0,,1090.0,10.0,3
