dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,activation_policy,activation_scope,activation_topk,activation_tau,operator_name,dictionary_estimator,safe_generator,bridge_realizer,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,gamma_requested_mean,gamma_used_mean,gamma_zero_rate,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source,utilization_mode,core_training_mode,aug_train_ratio,multi_template_pairs,template_selection,zpia_z_dim,zpia_n_train,zpia_n_train_lt_z_dim,zpia_row_norm_min,zpia_row_norm_max,zpia_row_norm_mean,zpia_fallback_row_count,telm2_recon_last,telm2_recon_mean,telm2_recon_std,selected_template_entropy
handwriting,2,csta_topk_uniform_top5,success,,0.4136709560472157,0.4625744332936486,0.0489034772464329,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.4083333333333334,29,0,0,7.839021930005401,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001561612394426,0.000319926508102,1.0411690623134124,0.0637746979226071,0.5068418285452961,0.2591882417685238,0.05,0.0493736790751254,0.0,0.0,0.0,1200,1200,10,10,0.0583333333333333,2.1580509684502043,0.1666666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,6,120,False,1.0,1.0,1.0,0,0.7552577188516096,0.7538034710311421,0.0025632709193199,2.1580509684502043
handwriting,3,csta_topk_uniform_top5,success,,0.4038917991696072,0.40792804358216,0.004036244412552792,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.3652777777777777,15,0,0,6.521420384000521,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0001561586244799,0.0003248353667948,1.0412608642548913,0.0635962171545813,0.5091100521259871,0.2621793509247431,0.05,0.0496181021411712,0.0,0.0,0.0,1200,1200,10,10,0.0333333333333333,2.1664664038326835,0.1666666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,6,120,False,1.0,1.0000000000000002,1.0,0,0.7505251104427254,0.7490490656463976,0.0034144444333813,2.1664664038326835
japanesevowels,1,csta_topk_uniform_top5,success,,0.9561456014766324,0.9739947484133084,0.01784914693667594,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.9628334628334628,19,0,0,9.007542449980974,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003128074452993,2.4623411408159104,1.1064090335896837,0.16820745030998,0.0186452212741917,5.394679395933378,0.0499999999999999,0.0499999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,2.2808997157194475,0.1527777777777778,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,78,216,False,1.0,1.0,1.0,0,0.7457823519458467,0.7501390617000077,0.012200302220932,2.2808997157194475
japanesevowels,2,csta_topk_uniform_top5,success,,0.9741476029508114,0.9792768242108972,0.005129221260085859,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,10.908425702014938,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003127705907458,2.444038503839234,1.1035584040681596,0.1652345001706308,0.0187936650918397,5.356552201176859,0.0499999999999999,0.0499999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,2.2579419741768376,0.1527777777777778,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,78,216,False,1.0,1.0,1.0,0,0.7493481019152409,0.7534476229307976,0.0126902622167224,2.2579419741768376
japanesevowels,3,csta_topk_uniform_top5,success,,0.9681596726696928,0.9664361005406864,-0.0017235721290064232,2160,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,16,0,0,8.512632169993594,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0003127974405466,2.4441504088669563,1.1029575885838658,0.1675955860399892,0.0187084908977886,5.378469108461614,0.0499999999999999,0.0499999999999999,0.0,0.0,0.0,2160,2160,10,10,0.0,2.2753389404077917,0.1481481481481481,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,78,216,False,1.0,1.0,1.0,0,0.7488016497452964,0.7512732409111937,0.0123525275859869,2.2753389404077917
natops,1,csta_topk_uniform_top5,success,,0.9373000436629222,0.972214504028897,0.034914460365974787,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.972027972027972,30,0,0,8.7595186450053,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004427984807461,2.911572365125548,1.1831280228838117,0.2678249526906069,0.0180733385379415,5.82076716417455,0.05,0.05,0.0,0.0,0.0,1440,1440,10,10,0.0,2.160811559321453,0.1875,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,300,144,True,1.0,1.0,1.0,0,0.7413955341463061,0.757840911898841,0.0115851800505578,2.160811559321453
natops,2,csta_topk_uniform_top5,success,,0.9070392331641024,0.942792777550336,0.03575354438623357,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,18,0,0,7.592206903005717,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004429783601048,2.9149163794081967,1.1929925907867742,0.2803959639094575,0.0183655806885069,5.7362806886113855,0.05,0.05,0.0,0.0,0.0,1440,1440,10,10,0.0,2.1789852033783856,0.1944444444444444,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,300,144,True,1.0,1.0,1.0,0,0.753430123513149,0.7592133258157752,0.0107950116523461,2.1789852033783856
natops,3,csta_topk_uniform_top5,success,,0.920588320022504,0.927688905982166,0.007100585959662009,1440,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.972027972027972,30,0,0,9.332329499011394,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0004428298631364,2.921523845788476,1.185097038433704,0.2721269024223327,0.0187111798407238,5.643837013582447,0.05,0.05,0.0,0.0,0.0,1440,1440,10,10,0.0,2.1859164585147184,0.1736111111111111,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,300,144,True,1.0,1.0,1.0,0,0.7591960365934863,0.7556615765190766,0.0114538393452741,2.1859164585147184
racketsports,1,csta_topk_uniform_top5,success,,0.8656212251404092,0.8840267095656068,0.018405484425197627,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.9409722222222222,30,0,0,8.039424818998668,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002207642577483,0.0001210616811529,1.0485911131542278,0.0793302153552838,0.0491430825312449,2.1438648560026827,0.05,0.05,0.0,0.0,0.0,1200,1200,10,10,0.0,2.275203377551117,0.1583333333333333,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,21,120,False,1.0,1.0,1.0,0,0.6439876728442867,0.6505309066490541,0.0133635817838723,2.275203377551117
racketsports,2,csta_topk_uniform_top5,success,,0.8588293650793651,0.88329945799458,0.024470092915214847,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,1.0,30,0,0,7.992870307993144,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.0002207751637704,0.0001339830306623,1.0491340102676252,0.0803645731031576,0.0485960167765246,2.169316663145023,0.05,0.05,0.0,0.0,0.0,1200,1200,10,10,0.0,2.265079715684917,0.1416666666666666,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,21,120,False,1.0,1.0,1.0,0,0.6409920133104581,0.6446748194233678,0.0161542688599673,2.265079715684917
racketsports,3,csta_topk_uniform_top5,success,,0.8843719087962982,0.9036004645760743,0.019228555779776113,1200,10.0,10.0,covariance_template,hard,resnet1d,True,False,none,True,uniform_top5_response,0.9105263157894736,30,0,0,7.758560866990592,uniform_topk,single_anchor,5,,PIA,TELM2,local_margin_safe_step,whitening_coloring,0.00022075190053,0.0001230717476817,1.0488665567956543,0.0777903227803522,0.0491284208570161,2.1508125271014964,0.05,0.05,0.0,0.0,0.0,1200,1200,10,10,0.0,2.256838815377447,0.15,zpia_top1_pool,core_concat,concat_all,10.0,1,anchor_top_abs_response,21,120,False,1.0,1.0,1.0,0,0.6390133560120386,0.640681388461378,0.013002536628967,2.256838815377447
