method,mean,std,count
wdba_sameclass,0.6679222249312298,0.28158866850381287,21
csta_topk_uniform_top5,0.6652418044749705,0.30489721602991804,21
dba_sameclass,0.6633089519049827,0.30030478948185485,21
spg_cfm_one_step,0.6549103452476898,0.31605058076033404,21
csta_template_random_within_bank,0.6535458366319812,0.30552197343893095,21
random_cov_state,0.6481301127637586,0.32064304598542864,21
latent_residual_flow,0.6474999368722139,0.32098922378257744,21
spg_pia_zhead,0.6390495277634739,0.34185486294518314,21
