dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,csta_random_feasible_selector,0.18587153587153585,0.11557332414636459,-0.04867169867169865,0.19085369788446352,0.8518518518518517,120.0,10.0,3
ering,csta_random_feasible_selector,0.7918918383017265,0.03600128530357418,0.04497043045713004,0.1411346485266958,0.8518518518518517,240.0,10.0,3
handmovementdirection,csta_random_feasible_selector,0.27629162857395867,0.03360249513114516,0.06660035400594197,0.05951897033577046,0.38411531279178335,1280.0,10.0,3
handwriting,csta_random_feasible_selector,0.4477881140836697,0.015113679460715769,0.04768809639589342,0.028631635214666037,0.3705264550264549,1200.0,10.0,3
japanesevowels,csta_random_feasible_selector,0.9751839604530446,0.006756186830692968,0.009033001420665654,0.011892531278342085,0.9875679875679877,2160.0,10.0,3
natops,csta_random_feasible_selector,0.949128147239647,0.014621734556902898,0.0274856149564708,0.022322551533394352,0.9813519813519814,1440.0,10.0,3
racketsports,csta_random_feasible_selector,0.8574626319612273,0.0319133049427897,-0.012144867710796925,0.043599640629601866,0.9502178649237472,1200.0,10.0,3
