method,debug_probe,mean_f1,ci_low,ci_high,delta_vs_u5,delta_vs_random_cov,delta_vs_bank_random,delta_vs_cs_flow,delta_vs_wdba,delta_vs_direct_probe,latent_train_cosine_loss_mean,latent_train_mse_mean,latent_train_pred_target_cosine_mean,latent_pred_velocity_norm_mean,latent_pred_velocity_norm_std,latent_target_velocity_norm_mean,latent_target_velocity_norm_std,latent_target_dist_mean,latent_target_dist_std,latent_target_sampling_entropy,latent_target_sampling_entropy_by_class_mean,latent_target_sampling_entropy_by_class_min,latent_fallback_rate,latent_residual_effective_rank,latent_residual_pairwise_cosine_mean,latent_generated_direction_pairwise_cosine_mean,latent_unique_direction_ratio,latent_effective_aug_multiplier,bridge_success_rate,gamma_used_ratio_mean,safe_clip_rate,transport_error_logeuc_mean,seed_wins_vs_u5,seed_ties_vs_u5,seed_losses_vs_u5,dataset_wins_vs_u5,dataset_ties_vs_u5,dataset_losses_vs_u5,paired_delta_vs_u5_mean,paired_delta_vs_u5_ci_low,paired_delta_vs_u5_ci_high,wilcoxon_p_vs_u5,seed_wins_vs_random_cov,seed_ties_vs_random_cov,seed_losses_vs_random_cov,dataset_wins_vs_random_cov,dataset_ties_vs_random_cov,dataset_losses_vs_random_cov,paired_delta_vs_random_cov_mean,paired_delta_vs_random_cov_ci_low,paired_delta_vs_random_cov_ci_high,wilcoxon_p_vs_random_cov,seed_wins_vs_bank_random,seed_ties_vs_bank_random,seed_losses_vs_bank_random,dataset_wins_vs_bank_random,dataset_ties_vs_bank_random,dataset_losses_vs_bank_random,paired_delta_vs_bank_random_mean,paired_delta_vs_bank_random_ci_low,paired_delta_vs_bank_random_ci_high,wilcoxon_p_vs_bank_random,seed_wins_vs_cs_flow,seed_ties_vs_cs_flow,seed_losses_vs_cs_flow,dataset_wins_vs_cs_flow,dataset_ties_vs_cs_flow,dataset_losses_vs_cs_flow,paired_delta_vs_cs_flow_mean,paired_delta_vs_cs_flow_ci_low,paired_delta_vs_cs_flow_ci_high,wilcoxon_p_vs_cs_flow,seed_wins_vs_wdba,seed_ties_vs_wdba,seed_losses_vs_wdba,dataset_wins_vs_wdba,dataset_ties_vs_wdba,dataset_losses_vs_wdba,paired_delta_vs_wdba_mean,paired_delta_vs_wdba_ci_low,paired_delta_vs_wdba_ci_high,wilcoxon_p_vs_wdba,seed_wins_vs_direct_probe,seed_ties_vs_direct_probe,seed_losses_vs_direct_probe,dataset_wins_vs_direct_probe,dataset_ties_vs_direct_probe,dataset_losses_vs_direct_probe,paired_delta_vs_direct_probe_mean,paired_delta_vs_direct_probe_ci_low,paired_delta_vs_direct_probe_ci_high,wilcoxon_p_vs_direct_probe
wdba_sameclass,False,0.6679222249312298,0.5474783588174306,0.7819647379449619,0.0026804204562592693,0.019792112167471232,0.014376388299248588,0.0131076673923749,0.0,,,,,,,,,,,,,,,,,,,,,,,,9,0,12,3,0,4,0.002680420456259293,-0.024467875010127645,0.03137239541463772,1.0,11,0,10,3,0,4,0.01979211216747112,-0.01907985284792551,0.06260208161373006,0.5854024887084961,13,0,8,5,0,2,0.014376388299248612,-0.011277169068646845,0.041941132671112206,0.3038158416748047,12,0,9,4,0,3,0.013107667392374855,-0.018624405945227716,0.048629047744615586,0.5620746612548828,0,21,0,0,7,0,0.0,0.0,0.0,,0,0,0,0,0,0,,,,
csta_topk_uniform_top5,False,0.6652418044749705,0.5333498246150686,0.7874618054049444,0.0,0.017111691711211963,0.011695967842989319,0.01042724693611563,-0.0026804204562592693,,,,,,,,,,,,,,,,,,,,,0.9943245465901505,0.024999999999999994,0.7712347352606244,0,21,0,0,7,0,0.0,0.0,0.0,,10,1,10,5,0,2,0.01711169171121183,-0.012400535996906256,0.05090873963344126,0.45527280991543384,16,1,4,6,0,1,0.011695967842989315,-0.003981276994499058,0.025490203823435104,0.02509350819808047,10,0,11,4,0,3,0.010427246936115561,-0.015115756325765261,0.04045769888869752,0.8116779327392578,12,0,9,4,0,3,-0.002680420456259293,-0.03137239541463773,0.024467875010127642,1.0,0,0,0,0,0,0,,,,
dba_sameclass,False,0.6633089519049826,0.5342961179545509,0.7879664406275307,-0.0019328525699878751,0.015178839141224088,0.009763115273001444,0.008494394366127755,-0.004613273026247144,,,,,,,,,,,,,,,,,,,,,,,,10,0,11,3,0,4,-0.0019328525699877576,-0.031890771792069304,0.028684843431413438,0.7592878341674805,9,0,12,4,0,3,0.015178839141224068,-0.013325307081264722,0.04784359659680634,0.8917322158813477,12,0,9,5,0,2,0.009763115273001558,-0.019618232268983384,0.04234146930460657,0.8648872375488281,11,0,10,4,0,3,0.008494394366127802,-0.01615517587490293,0.03531176785125843,0.6091489791870117,10,0,11,3,0,4,-0.004613273026247053,-0.0271351979874237,0.018607980305873233,0.7079343795776367,0,0,0,0,0,0,,,,
cs_flow_single_step,False,0.6548145575388549,0.519349360444779,0.7781233756537981,-0.01042724693611563,0.006684444775096332,0.0012687209068736882,0.0,-0.0131076673923749,,,,,,,,,,,,,,,,,,,,1.0,,0.024999999999999994,0.771856852288369,11,0,10,3,0,4,-0.010427246936115561,-0.04045769888869754,0.015115756325765256,0.8116779327392578,11,1,9,4,0,3,0.006684444775096269,-0.004023517338390323,0.019290571306399797,0.6274460333215013,14,0,7,4,0,3,0.0012687209068737557,-0.02982242796070378,0.02959438440222464,0.39258384704589844,0,21,0,0,7,0,0.0,0.0,0.0,,9,0,12,3,0,4,-0.013107667392374855,-0.048629047744615635,0.01862440594522771,0.5620746612548828,0,0,0,0,0,0,,,,
csta_template_random_within_bank,False,0.6535458366319812,0.520055653696464,0.7749761905443671,-0.011695967842989319,0.005415723868222644,0.0,-0.0012687209068736882,-0.014376388299248588,,,,,,,,,,,,,,,,,,,,,0.9943245465680415,0.024999999999999994,0.7712348967354768,4,1,16,1,0,6,-0.011695967842989315,-0.025490203823435108,0.003981276994499042,0.02509350819808047,7,0,14,2,0,5,0.005415723868222513,-0.024693623305435283,0.03958804220094064,0.27221012115478516,0,21,0,0,7,0,0.0,0.0,0.0,,7,0,14,3,0,4,-0.0012687209068737557,-0.029594384402224668,0.029822427960703772,0.39258384704589844,8,0,13,2,0,5,-0.014376388299248612,-0.04194113267111223,0.011277169068646838,0.3038158416748047,0,0,0,0,0,0,,,,
random_cov_state,False,0.6481301127637585,0.5054358170500939,0.7745371152525269,-0.017111691711211963,0.0,-0.005415723868222644,-0.006684444775096332,-0.019792112167471232,,,,,,,,,,,,,,,,,,,,,,,0.7712090154099581,10,1,10,2,0,5,-0.01711169171121183,-0.0509087396334413,0.012400535996906246,0.45527280991543384,0,21,0,0,7,0,0.0,0.0,0.0,,14,0,7,5,0,2,-0.005415723868222513,-0.039588042200940664,0.02469362330543528,0.27221012115478516,9,1,11,3,0,4,-0.006684444775096269,-0.0192905713063998,0.004023517338390318,0.6274460333215013,10,0,11,4,0,3,-0.01979211216747112,-0.06260208161373007,0.019079852847925502,0.5854024887084961,0,0,0,0,0,0,,,,
latent_residual_flow,False,0.647499936872214,0.5086046564225442,0.7773211829136665,-0.017741867602756534,-0.000630175891544571,-0.006045899759767215,-0.007314620666640903,-0.020422288059015803,,0.14030069387739608,0.09866685149747696,0.8596993145488557,0.39733672780650003,0.14007335972218288,1.376634550631898,0.2082797599287388,2.807847433371686,0.705205693757062,2.280366556111814,2.248862765510979,2.0637583027565207,0.0,23.176594481635796,-0.015567477076340657,0.09162534147940493,1.0,10.0,1.0,,0.024999999999999994,0.7722096323984609,6,0,15,2,0,5,-0.017741867602756662,-0.039664664565586344,-0.0029147890580055193,0.03191947937011719,8,0,13,3,0,4,-0.000630175891544834,-0.025792605011929374,0.02504290084259396,0.682713508605957,12,0,9,4,0,3,-0.006045899759767347,-0.030081234045371816,0.015712601390213212,0.9186935424804688,9,0,12,3,0,4,-0.0073146206666411025,-0.028853337511344404,0.014742939986815416,0.37372493743896484,10,0,11,4,0,3,-0.020422288059015956,-0.0543287793598132,0.010141694623710524,0.539189338684082,0,0,0,0,0,0,,,,
