dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum
selfregulationscp2,1,random_cov_state,success,,0.40380184331797236,0.49562602515035536,0.091824181832383,1600,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.49967083607636603,14,0,0,73.1557209379971,1.1579851495147802e-05,,
selfregulationscp2,1,pca_cov_state,success,,0.40380184331797236,0.491404255319149,0.08760241200117663,1600,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.52,14,0,0,49.80689228302799,1.1579719757497433e-05,10.0,0.998552680015564
selfregulationscp2,2,random_cov_state,success,,0.5600111389585074,0.5535714285714286,-0.006439710387078801,1600,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.55,13,0,0,44.482833622954786,1.1483485887008605e-05,,
selfregulationscp2,2,pca_cov_state,success,,0.5600111389585074,0.5594659066265993,-0.0005452323319080632,1600,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.55,13,0,0,39.66008879384026,1.148338113074036e-05,10.0,0.9986796975135803
selfregulationscp2,3,random_cov_state,success,,0.5975655198112035,0.5541795665634675,-0.043385953247736087,1600,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,random_unit_z_direction,0.5247029393370857,12,0,0,41.0418434641324,1.1450587889765998e-05,,
selfregulationscp2,3,pca_cov_state,success,,0.5975655198112035,0.5488721804511278,-0.048693339360075694,1600,10.0,10.0,covariance_state,hard,moderntcn,True,False,none,True,pca_top_z_direction,0.5247029393370857,12,0,0,41.2636560969986,1.1449013770419838e-05,10.0,0.9986287355422974
