dataset,seed,method,n_train,z_dim,n_classes,tangent_available_rate,insufficient_neighbor_count,fallback_count,selected_alignment_mean,selected_alignment_std,random_alignment_mean,random_alignment_std,pca_alignment_mean,pca_alignment_std,selected_minus_random_alignment,selected_minus_pca_alignment,selected_normal_leakage_mean,random_normal_leakage_mean,pca_normal_leakage_mean,actual_candidate_audit_available,audit_source,top1_alignment_mean,top5_alignment_mean,top5_alignment_std_mean,selected_alignment_rank_within_top5_mean,selected_alignment_minus_top5_mean,top5_response_mean,top5_response_std_mean,k_neighbors,tangent_dim_policy,explained_var_threshold,max_tangent_dim
natops,1,csta_top1_current,144,300,6,1.0,0,0,0.08384147869097497,0.05010128715639243,0.020133847443977615,0.011163987982657421,0.14801494008094188,0.08583800845859835,0.06370763124699735,-0.06417346138996691,0.916158521309025,0.9798661525560224,0.851985059919058,False,policy_replay,0.08384147869097497,0.09369008229966264,0.04750584604348632,3.1319444444444446,-0.009848603608687685,2.551039279044512,0.6378608110027777,8,auto,0.9,10
natops,1,csta_topk_uniform_top5,144,300,6,1.0,0,0,0.09237052515203716,0.058664955209835994,0.020133847443977615,0.011163987982657421,0.14801494008094188,0.08583800845859835,0.07223667770805954,-0.05564441492890472,0.9076294748479629,0.9798661525560224,0.851985059919058,True,actual_candidate_audit,0.08384147869097497,0.09369008229966264,0.04750584604348632,3.013888888888889,-0.0013195571476254874,2.551039279044512,0.6378608110027777,8,auto,0.9,10
natops,1,pca_cov_state,144,300,6,1.0,0,0,,,,,0.14801494008094188,0.08583800845859835,,,,,0.851985059919058,False,policy_replay,0.08384147869097497,0.09369008229966265,0.04750584604348632,,,2.551039279044512,0.6378608110027777,8,auto,0.9,10
natops,1,random_cov_state,144,300,6,1.0,0,0,,,0.020133847443977615,0.011163987982657421,,,,,,0.9798661525560224,,False,policy_replay,0.08384147869097497,0.09369008229966265,0.04750584604348632,,,2.551039279044512,0.6378608110027777,8,auto,0.9,10
