dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
atrialfibrillation,csta_topk_uniform_top5,0.1831810165143498,0.16708213673052022,-0.051362218028884694,0.22336616299513454,0.8518518518518517,120.0,10.0,3
ering,csta_topk_uniform_top5,0.8081724387151946,0.08339031272930635,0.06125103087059806,0.09401485288079135,0.9259259259259259,240.0,10.0,3
handmovementdirection,csta_topk_uniform_top5,0.27538590759943704,0.02027076296903768,0.06569463303142038,0.03635353955175217,0.39732011108946086,1280.0,10.0,3
handwriting,csta_topk_uniform_top5,0.47003257374755286,0.015748761466096904,0.06993255605977657,0.028050182838908613,0.4304814814814814,1200.0,10.0,3
japanesevowels,csta_topk_uniform_top5,0.9834460085727305,0.003316344873106648,0.017295049540351697,0.008080221798262685,0.9937839937839938,2160.0,10.0,3
natops,csta_topk_uniform_top5,0.9605696409253824,0.010224217504838738,0.038927108642206165,0.008655530905812153,0.9813519813519814,1440.0,10.0,3
racketsports,csta_topk_uniform_top5,0.8793737076620624,0.023038277104257397,0.009766207990038097,0.03347055593542672,0.9606481481481483,1200.0,10.0,3
