dataset,seed,method,status,fail_reason,base_f1,aug_f1,gain,aug_count,aug_ratio,actual_aug_ratio,source_space,label_mode,backbone,train_split_only,uses_external_library,library_name,budget_matched,selection_rule,best_val_f1,stop_epoch,warning_count,fallback_count,method_elapsed_sec,transport_error_logeuc_mean,pca_n_components,pca_explained_variance_ratio_sum,dba_k,dba_max_iter
har,1,random_cov_state,success,,0.9355290262377642,0.9472064058572993,0.011677379619535078,58810,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.998682355501666,30,0,0,154.19124590198044,2.953258361220731,,,,
har,1,pca_cov_state,success,,0.9355290262377642,0.9561630600825182,0.02063403384475393,58810,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.998682355501666,30,0,0,153.94301190110855,2.9533507388800904,10.0,0.9851602911949158,,
har,1,dba_sameclass,success,,0.9355290262377642,0.9331708629699943,-0.0023581632677699416,58810,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9836760512849563,30,0,0,362.5701168751111,,,,5.0,5.0
har,1,raw_aug_jitter,success,,0.9355290262377642,0.9653917951092285,0.029862768871464218,58810,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.9987450935990339,30,0,0,127.24429491790943,,,,,
har,2,random_cov_state,success,,0.9342839169233081,0.949041425776782,0.014757508853473822,58810,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9981179001142704,30,0,0,154.15204112802166,2.9530229997764317,,,,
har,2,pca_cov_state,success,,0.9342839169233081,0.9507032156172933,0.016419298693985174,58810,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.9987450935990339,30,0,0,153.8284551629331,2.953079810709798,10.0,0.9850813746452332,,
har,2,dba_sameclass,success,,0.9342839169233081,0.9453522770722594,0.011068360148951295,58810,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9862106667043683,30,0,0,363.3085101019824,,,,5.0,5.0
har,2,raw_aug_jitter,success,,0.9342839169233081,0.9489602602660564,0.014676343342748255,58810,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.9974914653237518,30,0,0,128.0965921820607,,,,,
har,3,random_cov_state,success,,0.9348718872533843,0.9550965142242974,0.020224626970913095,58810,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.9987450935990339,30,0,0,154.08358707209118,2.9528222891301255,,,,
har,3,pca_cov_state,success,,0.9348718872533843,0.9511105290291745,0.016238641775790152,58810,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.9974908619266595,30,0,0,154.16897858597804,2.952864483691702,10.0,0.9851830005645752,,
har,3,dba_sameclass,success,,0.9348718872533843,0.9385922109523527,0.003720323698968353,58810,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.9912180167433086,30,0,0,374.83739088696893,,,,5.0,5.0
har,3,raw_aug_jitter,success,,0.9348718872533843,0.9579328190038964,0.023060931750512048,58810,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.9968646753819262,28,0,0,132.14015503099654,,,,,
motorimagery,1,random_cov_state,success,,0.4025735294117647,0.4109868974636375,0.00841336805187276,2220,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.5164694595458906,17,0,0,50.64850871299859,0.000105728177971963,,,,
motorimagery,1,pca_cov_state,success,,0.4025735294117647,0.4498975299320462,0.04732400052028146,2220,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.5351213282247764,12,0,0,39.12842045398429,0.0001057277964413097,10.0,0.5153107047080994,,
motorimagery,1,dba_sameclass,success,,0.4025735294117647,0.4025735294117647,0.0,2220,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.5708812260536398,21,0,0,14874.982920165989,,,,5.0,5.0
motorimagery,1,raw_aug_jitter,success,,0.4025735294117647,0.3503118503118503,-0.052261679099914415,2220,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.5664516129032258,14,0,0,46.63656366302166,,,,,
motorimagery,2,random_cov_state,success,,0.40910670837678137,0.4542271650705386,0.04512045669375725,2220,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.5333333333333333,14,0,0,42.835668465006165,0.00010536586861322497,,,,
motorimagery,2,pca_cov_state,success,,0.40910670837678137,0.40476190476190477,-0.004344803614876602,2220,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.46135986733001655,14,0,0,43.69566371804103,0.00010536583945965682,10.0,0.5126819014549255,,
motorimagery,2,dba_sameclass,success,,0.40910670837678137,0.4583333333333333,0.049226624956551945,2220,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.546485260770975,20,0,0,15315.186155815958,,,,5.0,5.0
motorimagery,2,raw_aug_jitter,success,,0.40910670837678137,0.4269949066213922,0.017888198244610853,2220,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.5356550580431177,15,0,0,49.06006881897338,,,,,
motorimagery,3,random_cov_state,success,,0.4967793880837359,0.5245969408846631,0.027817552800927237,2220,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.5303225806451612,16,0,0,47.861073283012956,0.00010606017068008649,,,,
motorimagery,3,pca_cov_state,success,,0.4967793880837359,0.5985547972701726,0.10177540918643668,2220,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.5351213282247764,15,0,0,45.698252580012195,0.00010606027174124462,10.0,0.5157267451286316,,
motorimagery,3,dba_sameclass,success,,0.4967793880837359,0.5772946859903382,0.08051529790660228,2220,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.625668449197861,11,0,0,14682.103981512948,,,,5.0,5.0
motorimagery,3,raw_aug_jitter,success,,0.4967793880837359,0.3749262884774148,-0.12185309960632107,2220,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.5534290271132376,29,0,0,78.3218566190917,,,,,
selfregulationscp2,1,random_cov_state,success,,0.3849097867687261,0.5388746566252045,0.1539648698564784,1600,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.47203016970458833,25,0,0,12.667920811101794,1.1579851495147802e-05,,,,
selfregulationscp2,1,pca_cov_state,success,,0.3849097867687261,0.5475113122171945,0.1626015254484684,1600,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.55,23,0,0,11.738398527028039,1.1579719757497433e-05,10.0,0.998552680015564,,
selfregulationscp2,1,dba_sameclass,success,,0.3849097867687261,0.4682247899159664,0.08331500314724027,1600,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.5725958516656191,15,0,0,442.2444518361008,,,,5.0,5.0
selfregulationscp2,1,raw_aug_jitter,success,,0.3849097867687261,0.513888888888889,0.12897910212016284,1600,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.5682539682539682,13,0,0,6.628233499941416,,,,,
selfregulationscp2,2,random_cov_state,success,,0.4562610943290461,0.4606949806949807,0.004433886365934614,1600,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.5747342088805503,19,0,0,9.82008712599054,1.1483485887008605e-05,,,,
selfregulationscp2,2,pca_cov_state,success,,0.4562610943290461,0.46664985499936956,0.01038876067032346,1600,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.6419437340153453,23,0,0,11.701492130989209,1.148338113074036e-05,10.0,0.9986796975135803,,
selfregulationscp2,2,dba_sameclass,success,,0.4562610943290461,0.5159345924391827,0.059673498110136614,1600,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.5725958516656191,25,0,0,441.25021079101134,,,,5.0,5.0
selfregulationscp2,2,raw_aug_jitter,success,,0.4562610943290461,0.4445903361344538,-0.01167075819459229,1600,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.595959595959596,14,0,0,7.113186470000073,,,,,
selfregulationscp2,3,random_cov_state,success,,0.5110507470058032,0.47024381176616376,-0.040806935239639464,1600,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,random_unit_z_direction,0.6491228070175439,22,0,0,11.239228753955103,1.1450587889765998e-05,,,,
selfregulationscp2,3,pca_cov_state,success,,0.5110507470058032,0.5244755244755245,0.01342477746972126,1600,10.0,10.0,covariance_state,hard,resnet1d,True,False,none,True,pca_top_z_direction,0.595959595959596,13,0,0,7.059337277896702,1.1449013770419838e-05,10.0,0.9986287355422974,,
selfregulationscp2,3,dba_sameclass,success,,0.5110507470058032,0.42129629629629634,-0.08975445070950688,1600,10.0,10.0,dtw_barycenter,hard,resnet1d,True,True,tslearn,True,same_class_dba,0.595959595959596,23,0,0,442.8415358730126,,,,5.0,5.0
selfregulationscp2,3,raw_aug_jitter,success,,0.5110507470058032,0.4883059826851014,-0.022744764320701827,1600,10.0,10.0,raw_time,hard,resnet1d,True,True,tsaug,True,repeat_train_anchors_addnoise,0.6266666666666667,12,0,0,6.157790126977488,,,,,
