dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source
handmovementdirection,1,success,lraes,resnet1d,act,0.23844289670902574,0.26697878877014086,0.02853589206111512,11.967594961884219,21,17,0.5395413410119293,0.3926728586171311,0.0002855111258718329,1.1123324268348731e-07,1.0791878061552231,0.14051717051512697,0.9999999999899998,0.9899009169526735,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes
handmovementdirection,2,success,lraes,resnet1d,act,0.2030680813439434,0.23564814814814816,0.03258006680420475,16.043905346757793,17,13,0.3214285714285714,0.43995859213250516,0.00028536106282652066,1.1120020710011773e-07,1.0806791606134678,0.14300165191630962,0.9999999999899998,0.9879851014124861,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes
handmovementdirection,3,success,lraes,resnet1d,act,0.18756284565108094,0.33076960462686206,0.1432067589757811,76.35130621278755,15,20,0.3456896551724138,0.3560758082497213,0.00028526421957593775,1.1147227087350038e-07,1.0798970818493494,0.14286967972898781,0.9999999999899998,1.0034452843727362,0.0,0.0,1280,1280,10,10,0.0,0.0,0.0,lraes
