dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source
japanesevowels,1,success,lraes,resnet1d,act,0.9561456014766324,0.9844632906592321,0.028317689182599692,2.9616500015496605,30,20,0.9452769452769453,0.9813519813519815,0.0003155661970810506,2.4626486734589985,1.2049607806954175,0.32011530419025214,0.9999999999899998,5.394679395933378,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes
japanesevowels,2,success,lraes,resnet1d,act,0.9741476029508114,0.9839336399933306,0.009786037042519236,1.004574256334655,30,30,1.0,1.0,0.00031535054833949533,2.4439967343180795,1.2005595141749452,0.31543499235935657,0.9999999999899998,5.356552201176861,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes
japanesevowels,3,success,lraes,resnet1d,act,0.9681596726696929,0.9890007799968686,0.0208411073271757,2.1526516506368067,30,30,1.0,1.0,0.0003153944389552479,2.4441397654807115,1.2052158196935183,0.3204432818325227,0.9999999999899998,5.378469108461614,0.0,0.0,2160,2160,10,10,0.0,0.0,0.0,lraes
