dataset,method,aug_f1_mean,aug_f1_std,gain_mean,gain_std,best_val_f1_mean,aug_count_mean,actual_aug_ratio_mean,n_seeds
natops,random_cov_state,0.927661637575311,0.014774372551192358,0.03322424697696099,0.03424319706052106,0.972027972027972,1440.0,10.0,3
natops,pca_cov_state,0.924556191449082,0.0255617928104299,0.030118800850732003,0.05001385408931729,0.972027972027972,1440.0,10.0,3
