dataset,seed,status,algo,model,pipeline,base_f1,act_f1,gain,f1_gain_pct,base_stop_epoch,act_stop_epoch,base_best_val_f1,act_best_val_f1,transport_error_fro_mean,transport_error_logeuc_mean,bridge_cond_A_mean,metric_preservation_error_mean,safe_radius_ratio_mean,manifold_margin_mean,host_geom_cosine_mean,host_conflict_rate,candidate_total_count,aug_total_count,requested_k_dir,effective_k_dir,safe_clip_rate,template_usage_entropy,top_template_concentration,direction_bank_source
racketsports,1,success,lraes,resnet1d,act,0.8656212251404092,0.895829522590086,0.03020829744967679,3.4897820296625457,30,30,0.9409722222222222,0.9409722222222222,0.00022183555186854268,0.00012108851942334569,1.098651912011802,0.1541978559390391,0.9999999999899998,2.143864856002683,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes
racketsports,2,success,lraes,resnet1d,act,0.8588293650793651,0.8843719087962982,0.025542543716933097,2.9741112474026132,30,23,0.9701754385964912,1.0,0.00022159560163714323,0.00013393448735873865,1.0893752150183678,0.15001020978747545,0.9999999999899998,2.1693166631450227,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes
racketsports,3,success,lraes,resnet1d,act,0.8843719087962982,0.8640667915106117,-0.020305117285686514,-2.295992759124457,30,12,0.9705882352941176,0.9409722222222222,0.00022172393461276492,0.000123058278833986,1.0999063937568918,0.157689446747044,0.9999999999899998,2.1508125271014964,0.0,0.0,1200,1200,10,10,0.0,0.0,0.0,lraes
