method,display_name,family,n_datasets,n_seed_runs,mean_f1_over_datasets,std_f1_over_datasets,mean_f1_over_seed_runs,mean_gain_vs_no_aug,mean_rank,win_count,delta_vs_csta_uniform_top5,win_count_vs_csta_uniform_top5
wdba_sameclass,wDBA,DTW synthesis,7,21,0.6679222249312299,0.2949289678054737,0.6679222249312298,0.04668552126962927,5.142857142857143,3,0.002680420456259301,3
csta_topk_uniform_top5,CSTA-PIA UniformTop5,CSTA/PIA,7,21,0.6652418044749704,0.31879042060522067,0.6652418044749705,0.04400510081336998,3.4285714285714284,2,0.0,0
dba_sameclass,DBA,DTW synthesis,7,21,0.6633089519049827,0.3150352542826332,0.6633089519049826,0.04207224824338222,4.142857142857143,0,-0.0019328525699877721,3
csta_top1_current,CSTA Top1,CSTA/PIA,7,21,0.6504671036133646,0.3376125186545971,0.6504671036133646,0.029230399951764026,5.285714285714286,0,-0.014774700861605927,2
random_cov_state,Random Cov-State,Cov-state control,7,21,0.6481301127637586,0.33410667043300374,0.6481301127637585,0.02689340910215814,4.571428571428571,1,-0.01711169171121185,2
pca_cov_state,PCA Cov-State,Cov-state control,7,21,0.6470301977697014,0.34938377527520514,0.6470301977697014,0.025793494108101,4.857142857142857,1,-0.018211606705269032,2
csta_fv_score_top5,CSTA FV-Score Top5,CSTA/PIA selector,7,21,0.6460455906714175,0.34563501745277925,0.6460455906714174,0.024808887009817003,4.857142857142857,0,-0.019196213803552985,3
csta_fv_filter_top5,CSTA FV-Filter Top5,CSTA/PIA selector,7,21,0.6405168366406871,0.3300832234015053,0.640516836640687,0.019280132979086595,6.357142857142857,0,-0.024724967834283403,1
csta_random_feasible_selector,CSTA Random Feasible,CSTA/PIA selector,7,21,0.6405168366406871,0.3300832234015053,0.640516836640687,0.019280132979086595,6.357142857142857,0,-0.024724967834283403,1
